,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,"13 participants were excluded due to non-learning (age / gender unclear). I used the final n=60 that they report in the paper; transformation level: ""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" I indicated trial-level, same for out-lier removal:""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" - only trial makes sense  ",,
Dibbets P and Poort H and Arntz A,2012,10.1016/j.jbtep.2011.08.006,Adding imagery rescripting during extinction leads to less ABA renewal.,Journal of behavior therapy and experimental psychiatry,https://pubmed.ncbi.nlm.nih.gov/21907686/,"Female;Humans;Galvanic Skin Response;Male;Surveys and Questionnaires;Adolescent;Adult;Young Adult;Analysis of Variance;Pain Measurement;Conditioning, Classical/*physiology;Psychological Tests;Fear/*psychology;Extinction, Psychological/*physiology;Imagery (Psychotherapy)",no,no,no,no,CD,70,50,22.02,2.64,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),yes,"Dawson, M. E., Schell, A. M., & Filion, D. L. (2007). The electrodermal system. In J. T. Cacioppo, L. G. Tassinary, & G. G. Berntson (Eds.), Handbook of psychophysiology (pp. 159e181). Cambridge: Cambridge University Press",trial-level,mixed,2,ANOVA,rmANOVA,12,N for SCR: 68
Dunsmoor JE and LaBar KS,2012,10.1016/j.nlm.2012.02.003,Brain activity associated with omission of an aversive event reveals the effects of fear learning and generalization.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/22387662/,"Female;Humans;Male;Brain;Brain Mapping;Magnetic Resonance Imaging;Photic Stimulation;Facial Expression;Conditioning, Classical/*physiology;Fear/*physiology;Galvanic Skin Response/physiology;Association Learning/*physiology;Brain/*physiology;Generalization, Psychological/*physiology",no,no,no,no,CD,25,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,raw SCR range corrected by dividing by the participant’s largest SCR and then square root transformed to normalize the distribution,yes,"Lykken, D. T., & Venables, P. H. (1971). Direct measurement of skin conductance: A proposal for standardization. Psychophysiology, 8, 656–672.",not reported,within,2,t-test,ttest,12,N for SCR: 14 (7 female)
"Davey, Graham C. L. and Matchett, George",1994,10.1037/0021-843X.103.4.708,Unconditioned stimulus rehearsal and the retention and enhancement of differential 'fear' conditioning: Effects of trait and state anxiety,Journal of Abnormal Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1995-08687-001&site=ehost-live,Female;Humans;Galvanic Skin Response;Male;Adolescent;Fear;Adult;Cues;anxiety;Anxiety;Unconditioned Stimulus;Conditioning (Psychology);18–37 yr olds;cued UCS rehearsal phenomenon,no,no,no,no,CD,82,40,NA,NA,not reported,both,STAI-T,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,all response values were subjected to a logarithmic transformation to normalize the distribution.,no,NA,not reported,mixed,3,ANOVA,rmANOVA,12,2 experiments; age range 18-37
"Cameron, Gemma and Schlund, Michael W. and Dymond, Simon",2015,10.3389/fnbeh.2015.00159,Generalization of socially transmitted and instructed avoidance,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-31714-001&site=ehost-live,anxiety disorders;Conditioned Fear;generalization;Reinstatement;Conditioned Stimulus;Physiological Arousal;Avoidance;avoidance;fear-conditioning;instructed-learning;observational-learning,no,no,no,no,CD,54,39,20.13,3.3,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,"To normalize the SCR data, scores were square-root transformed.",no,NA,not reported,mixed,not reported,"ANOVA (NHST, Bayes)",rmANOVA,12,N for SCR conditioning phase: 43
Cornwell BR and Overstreet C and Krimsky M and Grillon C,2013,10.1101/lm.028902.112,Passive avoidance is linked to impaired fear extinction in humans.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/23427168/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical;Analysis of Variance;Reflex, Startle;Electromyography;Avoidance Learning/*physiology;Orientation;User-Computer Interface;Regression Analysis;Data Interpretation, Statistical;Fear/*psychology;Extinction, Psychological/*physiology;Humanism;Humanities;Awareness/physiology;Discrimination, Psychological/physiology;Oculomotor Muscles/physiology",no,no,no,no,CD,40,NA,NA,NA,yes,both,avoidant behavior in a VR task,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,Startle data were standardized (T scores) to control for interindividual differences in baseline startle reactivity.,no,NA,trial-level,within,2,ANOVA,rmANOVA,12,N without exclusions: 30 (19 women)
"Dibbets, Pauline and Havermans, Remco and Arntz, Arnoud",2008,10.1016/j.brat.2008.05.007,All we need is a cue to remember: The effect of an extinction cue on renewal,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-12859-013&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Cues;fear conditioning;Mental Recall;Extinction (Learning);Conditioned Stimulus;renewal;Conditioning (Psychology);Inhibition (Psychology);Cognitive Processes;Retention (Psychology);extinction retrieval cue;Cognitive Ability;extinction cue;Automated Information Retrieval;extinction treatment",no,no,no,no,CD,75,54,21.11,1.68,not reported,group,NA,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"Amplitudes were range corrected using the largest response on US only presentations during the pre-conditioning phase (Lykken & Venables, 1971). The corrected amplitudes (i.e., the means used for analysis) were subjected to a square root transformation for normalization.",yes,"Lykken, D. T., & Venables, P. H. (1971). Direct measurement of skin conductance: A proposal for standardization. Psychophysiology, 8, 656–672.",trial-level & across trials,mixed,3,ANOVA,rmANOVA,12,N without exclusions for SCR: 62
"Dunsmoor, Joseph E. and Prince, Steven E. and Murty, Vishnu P. and Kragel, Philip A. and LaBar, Kevin S.",2011,10.1016/j.neuroimage.2011.01.041,Neurobehavioral mechanisms of human fear generalization,NeuroImage,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-02722-001&site=ehost-live,Female;Humans;Male;Fear;Adult;Young Adult;Brain;Magnetic Resonance Imaging;fear generalization;Arousal;Neurobiology;Cognitive Generalization;Humanism;Humanities;neurobehavioral mechanisms,no,no,no,no,CD,25,NA,NA,NA,unclear,both,brain activity ,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,Fear conditioning data were normalized on the basis of response output to the CS+ and CS− (sum of SCRs to a CS/total sum of all SCRs to all CS),no,NA,within,within,2,t-test,ttest,12,N without exclusions: 14 (7 females); statistical test inferred from statistics in results section; is brain activity an individual difference?
Dunsmoor JE and LaBar KS,2013,10.1037/a0031933,Effects of discrimination training on fear generalization gradients and perceptual classification in humans.,Behavioral neuroscience,https://pubmed.ncbi.nlm.nih.gov/23421709/,"Female;Humans;Male;Adolescent;Young Adult;Analysis of Variance;Photic Stimulation;Conditioning, Classical/*physiology;Electroshock;Galvanic Skin Response/physiology;Discrimination (Psychology);Humanism;Humanities;*Fear;Reaction Time/physiology;Discrimination, Psychological/*physiology;Generalization, Psychological/*physiology;Color Perception/*physiology",no,no,no,no,CD,58,30,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,raw scores were range corrected by dividing by the participant’s largest SCR to the US and then square root transformed to normalize the distribution,yes,"Lykken, D. T., & Venables, P. H. (1971). Direct measurement of skin conductance: A proposal for standardization. Psychophysiology, 8, 656–672.",not reported,within,2,t-test,ttest,12,"N without exclusions: 50, age range 18-22"
Cacciaglia R and Nees F and Pohlack ST and Ruttorf M and Winkelmann T and Witt SH and Nieratschker V and Rietschel M and Flor H,2013,10.1016/j.biopsycho.2013.05.006,A risk variant for alcoholism in the NMDA receptor affects amygdala activity during fear conditioning in humans.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/23693003/,"Female;Humans;Male;Adolescent;Adult;Amygdala;Young Adult;Magnetic Resonance Imaging;Analysis of Variance;Image Processing, Computer-Assisted;Reflex, Startle;Conditioning, Classical/*physiology;Receptors, N-Methyl-D-Aspartate;Fear/*psychology;Humanism;Humanities;Alcoholics;Extinction, Psychological/physiology;Oxygen/blood;Galvanic Skin Response/genetics;Alcoholism/*genetics/*pathology;Amygdala/blood supply/*metabolism;Receptors, N-Methyl-D-Aspartate/*genetics",no,no,no,no,CD,114,41,22.12,4.06,partially,both,brain activity ,dependent variable,Kolmogorov-Smirnov test,after,not reported,NA,yes,Mauchly test ,not reported,NA,not reported,NA,not reported,NA,yes,trials,"""+/- 2.5 SD""",NA,NA,NA,NA,"rc, log",NA,NA,NA,Data were range-corrected by dividing single-trial SCRs by the maximum individual conditioned response and subsequently normalized using a logarithmic transformation.,no,NA,trial-level,mixed,3,ANOVA,rmANOVA,12," N for SCR: 54; exclusion of DSM-axis I disorder counted as ""partially"""
"Delgado, M. R. and Labouliere, C. D. and Phelps, E. A.",2006,10.1093/scan/nsl025,Fear of losing money? Aversive conditioning with secondary reinforcers,Social Cognitive and Affective Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-02697-012&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Social Behavior;Fear;Amygdala;Young Adult;Reward;Aversion Conditioning;aversive conditioning;Punishment;Conditioning (Psychology);Reinforcement (Psychology);Monetary Rewards;Secondary Reinforcement;Corpus Striatum;Gambling;rewards;Economics;Disruptive, Impulse Control, and Conduct Disorders;monetary gain;Money;money losing fear;secondary reinforcers",no,no,no,no,CD,81,45,NA,NA,unclear,both,arousal during gambling session; US rating,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,Responses were square-root transformed prior to statistical analysis to reduce skewness (LaBar et al. 1998).,yes,"LaBar, K. S., Gatenby, J. C., Gore, J. C., LeDoux, J. E., and Phelps, E.A. (1998). Human amygdala activation during conditioned fear acquisition and extinction: a mixed-trial fMRI study. Neuron 20, 937–945.",trial-level,within,"exp1: 2; exp 2: 3, exp 3: 2","exp 1: t-test, exp 2 and 3: ANOVA","exp 1: ttest, exp 2 and 3: rmANOVA",12,"3 experiments, N after exclusions: 75"
Dunsmoor JE and Ahs F and Zielinski DJ and LaBar KS,2014,10.1016/j.nlm.2014.02.010,Extinction in multiple virtual reality contexts diminishes fear reinstatement in humans.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/24583374/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Random Allocation;Extinction, Psychological/*physiology;Humanism;Humanities;*User-Computer Interface",no,no,no,no,CD,43,22,22,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,Responses were transformed to T-scores within each phase (T-scores = z-scores*10 + 50).,no,NA,trial-level,within,2,ANOVA,rmANOVA,12,age range 18-40; 
Dunsmoor JE and Murphy GL,2014,10.1177/0956797614535401,Stimulus typicality determines how broadly fear is generalized.,Psychological science,https://pubmed.ncbi.nlm.nih.gov/25015685/,"Female;Humans;Male;Adolescent;Adult;Young Adult;*Galvanic Skin Response;*Fear;*Conditioning, Classical;*Generalization, Psychological",no,no,no,no,CD,46,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,SCRs were ... square-root transformed before statistical analysis to normalize the distribution.,no,NA,trial-level,within and mixed,"2, 9","t-test, rmANOVA","ttest, rmANOVA",12,N without exclusions: 37
Dunsmoor JE and Murty VP and Davachi L and Phelps EA,2015,10.1038/nature14106,Emotional learning selectively and retroactively strengthens memories for related events.,Nature,https://pubmed.ncbi.nlm.nih.gov/25607357/,"Emotions;Female;Humans;Time Factors;Male;Models, Neurological;Young Adult;Photic Stimulation;Memory;Neural Pathways;Memory, Episodic;Conditioning, Classical/physiology;Mental Recall/physiology;Emotions/*physiology;Recognition, Psychology/physiology;Fear/physiology/psychology;Memory, Short-Term/*physiology;Memory, Long-Term/*physiology",no,no,no,no,CD,138,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,not reported,within,2,t-test,ttest,12,N without exclusiosn for SCR: 100; transformation inferred from extended data fig. 1 
Eckstein M and Becker B and Scheele D and Scholz C and Preckel K and Schlaepfer TE and Grinevich V and Kendrick KM and Maier W and Hurlemann R,2015,10.1016/j.biopsych.2014.10.015,Oxytocin facilitates the extinction of conditioned fear in humans.,Biological psychiatry,https://pubmed.ncbi.nlm.nih.gov/25542304/,"Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Fear/*physiology;Oxytocin;Double-Blind Method;Healthy Volunteers;Humanism;Humanities;Conditioning, Classical/physiology;MSH Release-Inhibiting Hormone;Oxytocin/*administration & dosage;Galvanic Skin Response/*drug effects;Amygdala/*drug effects;Prefrontal Cortex/*drug effects",no,no,no,no,CD,62,0,24.61,4.28,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,"""+/- 2.0 SD""",NA,NA,NA,NA,z,NA,NA,NA,"To account for interindividual differences in physiological reactivity, SCR data were ztransformed and outliers of +/- 2SD were excluded within each subject.",yes,"Büchel C, Dolan RJ (2000): Classical fear conditioning in functional neuroimaging. Curr Opin Neurobiol 10:219-223.",trial-level,within,2,t-test,ttest,12,"N for SCR: 36 (however, from the df there were 58 for conditioning)"
Dunsmoor JE and Campese VD and Ceceli AO and LeDoux JE and Phelps EA,2015,10.1016/j.biopsych.2014.12.008,Novelty-facilitated extinction: providing a novel outcome in place of an expected threat diminishes recovery of defensive responses.,Biological psychiatry,https://pubmed.ncbi.nlm.nih.gov/25636175/,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Animals;Adult;Young Adult;Rats;Rats, Sprague-Dawley;Behavior, Animal;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Anxiety/*psychology",no,no,no,no,CD,60,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,not reported,mixed,2,ANOVA,rmANOVA,12,"extracted exp. 2 (human data), N after exclusions: 47"
Cacciaglia R and Pohlack ST and Flor H and Nees F,2015,10.1007/s00429-014-0807-8,Dissociable roles for hippocampal and amygdalar volume in human fear conditioning.,Brain structure & function,https://pubmed.ncbi.nlm.nih.gov/24903827/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Image Processing, Computer-Assisted;Fear/*physiology;Humanism;Humanities;Conditioning, Classical/physiology;Dissociative Disorders;Heart Block;*Brain Mapping;Amygdala/*physiology;Conditioning, Psychological/*physiology;Magnetic Resonance Imaging/methods;Awareness/physiology;Hippocampus/physiology",no,no,no,no,CD,19,0,29.5,9.2,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,Data were z transformed to account for interindividual differences in physiological reactivity.,no,NA,not reported,within,2,t-test,ttest,15,
Dunning JP and Hajcak G,2015,10.1016/j.beth.2015.06.005,"Gradients of Fear Potentiated Startle During Generalization, Extinction, and Extinction Recall--and Their Relations With Worry.",Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/26459844/,"Female;Humans;Male;Adult;Young Adult;Anxiety Disorders;Safety;Self Report;Electroshock;Generalization, Stimulus;Perception;Anxiety/*psychology;Conditioning, Classical/physiology;*Mental Recall;*Reflex, Startle;Fear/physiology/*psychology",no,no,no,no,CD,151,NA,NA,NA,unclear,both,worry,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,NA,within,4,ANOVA,rmANOVA,15,
Drexler SM and Merz CJ and Hamacher-Dang TC and Tegenthoff M and Wolf OT,2015,10.1038/npp.2015.160,Effects of Cortisol on Reconsolidation of Reactivated Fear Memories.,Neuropsychopharmacology : official publication of the American College of           Neuropsychopharmacology,https://pubmed.ncbi.nlm.nih.gov/26058664/,"Humans;Male;Hydrocortisone;Adolescent;Fear;Adult;Young Adult;Memory;Psychological Tests;Enzyme-Linked Immunosorbent Assay;Fear/*drug effects/physiology;Memory/*drug effects/physiology;Conditioning, Psychological/drug effects/physiology;Extinction, Psychological/drug effects/physiology;Saliva/metabolism;Galvanic Skin Response/drug effects/physiology;Hydrocortisone/*administration & dosage/pharmacokinetics;Psychotropic Drugs/*administration & dosage/pharmacokinetics",no,no,no,no,CD,42,0,25.45,0.57,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,Data were transformed with the natural logarithm to attain a normal distribution.,NA,NA,not reported,mixed,3,ANOVA,rmANOVA,15,"Successful acquisition is a prerequisite for studying reconsolidation effects. To exclude participants who did not acquire differential responding to both CS+ as compared with the CS − , we defined an exclusion criterion based on the differential SCR (mean SCR to the CS − subtracted from mean SCR to each of the CS+). Two participants showing a differential SCR lower than 1.5 interquartile ranges below the lower quartile to either CS1+ or CS2+ were excluded."
Coelho CA and Dunsmoor JE and Phelps EA,2015,10.1101/lm.039479.115,Compound stimulus extinction reduces spontaneous recovery in humans.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/26572649/,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Adult;Young Adult;Photic Stimulation;Acoustic Stimulation;Electroshock;Random Allocation;Psychological Tests;Humanism;Humanities;*Fear/physiology;*Auditory Perception/physiology;*Conditioning, Psychological/physiology;*Extinction, Psychological/physiology;*Visual Perception/physiology",no,no,no,no,CD,96,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,"""and scored according to criteria described in detail elsewhere (Dunsmoor et al. 2015)."" Dunsmoor et al. used sqr, but it is unclear if this was also done in the present paper!",NA,NA,not reported,mixed,3,ANOVA,rmANOVA,15,"Finally, as spontaneous recovery is predicated on subjects having initially acquired and extinguished conditioned fear prior to recovery test, and deepened extinction assumes both successful extinction of a CS in isolation and successful extinction of the compound CS, failure to exhibit successful fear acquisition and extinction (in both extinction blocks) were exclusionary criteria."
Chin B and Nelson BD and Jackson F and Hajcak G,2016,10.1016/j.ijpsycho.2015.11.006,Intolerance of uncertainty and startle potentiation in relation to different threat reinforcement rates.,International journal of psychophysiology : official journal of the International           Organization of Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/26602838/,"Female;Humans;Male;Adolescent;Young Adult;Reinforcement (Psychology);*Reinforcement, Psychology;Reflex, Startle/*physiology;Fear/*physiology/*psychology;*Uncertainty;Acoustic Stimulation/adverse effects/*psychology",no,no,no,no,CD,45,32,NA,NA,unclear,both,"state anxiety, intolerance of uncertainty",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,mixed,2,ANCOVA,other,15,Startle was measured at orbicularis oculi -> both columns are filled out
Chen JT and Lovibond PF,2016,10.1016/j.beth.2015.09.004,Intolerance of Uncertainty Is Associated With Increased Threat Appraisal and Negative Affect Under Ambiguity but Not Uncertainty.,Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/26763496/,Female;Humans;Male;Adolescent;Adult;Young Adult;Cues;Retrospective Studies;Galvanic Skin Response/physiology;Photic Stimulation/*methods;Affect/physiology;Anxiety Disorders/*diagnosis/*psychology;*Uncertainty,no,no,no,no,CD,46,NA,NA,NA,unclear,both,intolerance of uncertainty,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,"In order to reduce variance and skew,
the SCL data were log-corrected using the formula
log(mean cue period SCL + 1) – log(mean baseline
SCL + 1).",NA,NA,trial-level ,within,"unclear, probably 2","unclear, probably ANOVA?","unclear, probably rmANOVA?",15,"unclear if ""normal"" ANOVA or multivariate ANOVA (i.e., MANOVA)?"
Davidson P and Carlsson I and Jönsson P and Johansson M,2016,10.1111/jsr.12339,Sleep and the generalization of fear learning.,Journal of sleep research,https://pubmed.ncbi.nlm.nih.gov/26359128/,"Female;Humans;Male;Adult;Young Adult;Sleep;Fear/*psychology;Learning/*physiology;Conditioning, Psychological/physiology;Wakefulness/physiology;*Generalization, Psychological;Sleep/*physiology;Anxiety Disorders/psychology",no,no,no,no,CD,53,25,24.57,4.37,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, log",NA,NA,NA,"Each response was then divided by the maximum response for each participant to any of the trials during the given session (conditioning and generalization test, respectively) in order to control for individual differences in skin conductance responding. The scores were then logarithmized (ln) in order to approach a normal distribution. Because many responses were 0, a constant of 1 was added to all variables in order to be able to logarithmize data.",NA,NA,trial-level ,mixed,4,ANOVA,rmANOVA,15,
Castegnetti G and Tzovara A and Staib M and Paulus PC and Hofer N and Bach DR,2016,10.1111/psyp.12637,Modeling fear-conditioned bradycardia in humans.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/26950648/,"Female;Humans;Galvanic Skin Response;Heart Rate;Male;Adolescent;Adult;Young Adult;Bayes Theorem;Electrocardiography;Bradycardia;Conditioning, Classical/*physiology;Fear/*physiology;Memory/*physiology;Humanism;Humanities;Autonomic Nervous System/*physiology;Psychophysics/*methods;*Models, Psychological;Oximetry;Bradycardia/*psychology",no,no,no,no,CD,99,52,"4 different samples, information given for each sample; Question: Should the calculated mean be the simple mean or the weighted mean?","4 different samples, information given for each sample; Question: Should the calculated mean be the simple mean or the weighted mean?",unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,within,2,"t-test (SCR), general linear model (HR)",NA,15,
Burger AM and Verkuil B and Van Diest I and Van der Does W and Thayer JF and Brosschot JF,2016,10.1016/j.nlm.2016.05.007,The effects of transcutaneous vagus nerve stimulation on conditioned fear extinction in humans.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/27222436/,"Humans;Vagus Nerve;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Vagus Nerve/*physiology;Memory Consolidation/*physiology;Transcutaneous Electric Nerve Stimulation/*methods",no,no,no,no,CD,38,30,21.5,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,raw,probably raw,z,z,NA,NA,NA,NA,"Subsequently, startle EMG responses were standardized
as z-scores over all trial blocks on day one. These z-scores
were used in all subsequent analyses",NA,NA,"EMG responses were standardized
as z-scores over all trial blocks on day one",within,"unclear, probably 3",t-test; multilevel mixed models,t-test; multilevel mixed models,15,Startle was measured at orbicularis oculi -> both columns are filled out
de Voogd LD and Fernández G and Hermans EJ,2016,10.1093/scan/nsw055,Disentangling the roles of arousal and amygdala activation in emotional declarative memory.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/27217115/,"Emotions;Female;Humans;Male;Adult;Amygdala;Young Adult;Magnetic Resonance Imaging;Arousal;Memory;Electroshock;Galvanic Skin Response/physiology;Memory/*physiology;Arousal/*physiology;Sympathetic Nervous System/physiology;Amygdala/*physiology;Emotions/*physiology;Conditioning, Psychological/physiology;Fear/psychology;Reflex, Pupillary/physiology",no,no,no,no,CD,24,12,23.25,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,rc,"SCR: Responses were square root-transformed prior to statistical
analysis; Pupil diameter for each trial was normalized by dividing the signal with the average of 1 s pre-stimulus onset baseline.",NA,NA,not reported,within,2,ANOVA,rmANOVA,15,
Dowd EW and Mitroff SR and LaBar KS,2016,10.1037/emo0000197,Fear generalization gradients in visuospatial attention.,"Emotion (Washington, D.C.)",https://pubmed.ncbi.nlm.nih.gov/27213724/,Female;Humans;Male;Fear/*psychology;Attention/*physiology,no,no,no,no,CD,40,30,19,1.35,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"Raw SCR scores were normalized by range correction using each participant’s maximum SCR, and rangecorrected values were square-root–transformed to normalize the distribution.",NA,NA,trial-level ,within,"unclear, probably 2",ANOVA,rmANOVA,15,
Cacciaglia R and Nees F and Grimm O and Ridder S and Pohlack ST and Diener SJ and Liebscher C and Flor H,2017,10.1016/j.psyneuen.2016.11.012,"Trauma exposure relates to heightened stress, altered amygdala morphology and deficient extinction learning: Implications for psychopathology.",Psychoneuroendocrinology,https://pubmed.ncbi.nlm.nih.gov/27871027/,"Female;Humans;Male;Adult;Amygdala;Young Adult;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Hydrocortisone/*metabolism;Saliva/chemistry;*Stress Disorders, Post-Traumatic/etiology/metabolism/pathology/physiopathology;Amygdala/diagnostic imaging/*pathology;Psychological Trauma/*complications",no,no,no,no,CD,36,16,22.25,3.79,yes,both,sex,dependent variable,Kolmogorov-Smirnov test,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,,NA,NA,NA,mixed,4,ANOVA,rmANOVA,15,
