,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
"Sokol, Nicole and Lovibond, Peter F.",2012,10.1016/j.brat.2012.02.005,Cross-us reinstatement of human conditioned fear: Return of old fears or emergence of new ones?,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-10152-008&site=ehost-live,"Humans;Galvanic Skin Response;Extinction, Psychological;Fear;Cues;Conditioned Fear;Reinstatement;Unconditioned Stimulus;Electroshock;Conditioning (Psychology);Cognitive Processes;Noise;Humanism;Humanities;cognitive processes;conditioned fear: unconditioned stimulus;stimulus reinstatement",no,no,no,no,LD,111,48,19.41,2.48,no,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,NA,log,NA,NA,log transform for SCL: log10 (mean CS period SCL+1)- log10 (mean baseline SCL+1),yes,in order to reduce variance resulting from large individual differences in raw skin conductance data,not clearly reported,within,two,rmANOVA,rmANOVA,3,
Schultz DH and Balderston NL and Geiger JA and Helmstetter FJ,2013,10.1037/a0032742,Dissociation between implicit and explicit responses in postconditioning UCS revaluation after fear conditioning in humans.,Behavioral neuroscience,https://pubmed.ncbi.nlm.nih.gov/23731073/,"Humans;Adolescent;Adult;Young Adult;Analysis of Variance;Reaction Time;Photic Stimulation;Conditioning, Classical/*physiology;Fear/*physiology;Awareness/*physiology;Galvanic Skin Response/physiology;Psychophysics;Humanism;Humanities;Association Learning/*physiology;Heart Block;*Intention;Electric Stimulation/adverse effects",no,no,no,no,CD,34,19,19.5,NA,no,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,within,one,mixed ANOVA,rmANOVA,3,
Valdivia-Salas S and Forsyth JP and Berghoff CR and Ritzert TR,2014,10.1080/02699931.2014.883964,Using panicogenic inhalations of carbon dioxide enriched air to induce attentional bias for threat: Implications for the development of anxiety disorders.,Cognition & emotion,https://pubmed.ncbi.nlm.nih.gov/24499115/,"Female;Humans;Male;Young Adult;Anxiety Disorders;Galvanic Skin Response/physiology;Attention/*physiology;Bias (Epidemiology);Conditioning, Classical/physiology;Fear/physiology/*psychology;Emotions/physiology;Nebulizers and Vaporizers;Anxiety Disorders/*etiology;Carbon Dioxide/*adverse effects;Panic/*drug effects",no,no,no,no,LD,27,14,19.81,2.3,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,within,two,rmANOVA,rmANOVA,3,
Spoormaker VI and Gvozdanovic GA and Sämann PG and Czisch M,2014,10.1007/s00221-014-3831-2,Ventromedial prefrontal cortex activity and rapid eye movement sleep are associated with subsequent fear expression in human subjects.,Experimental brain research,https://pubmed.ncbi.nlm.nih.gov/24452776/,"Humans;Male;Adolescent;Adult;Young Adult;Magnetic Resonance Imaging;Analysis of Variance;Image Processing, Computer-Assisted;Photic Stimulation;Electroencephalography;Eye Movements;Prefrontal Cortex;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Polysomnography;Sleep, REM;Humanism;Humanities;*Fear;Sleep, REM/*physiology;Oxygen/blood;Electric Stimulation/adverse effects;Expressed Emotion/*physiology;Prefrontal Cortex/blood supply/*physiology",no,no,no,no,LD,18,0,23.4,2.8,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt transofrmation,yes ,to account for inter-individual SCR variability,trial-level,within,two,rmANOVA,rmANOVA,3,
Torrents-Rodas D and Fullana MA and Bonillo A and Andión O and Molinuevo B and Caseras X and Torrubia R,2014,10.1111/psyp.12213,Testing the temporal stability of individual differences in the acquisition and generalization of fear.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/24673651/,"Female;Humans;Individuality;Male;Adult;Conditioning, Psychological;Photic Stimulation;Fear/*psychology;Reflex, Startle/physiology;Generalization, Psychological/*physiology",no,no,no,no,LD,71,52,22.35,2.61,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt transformation,yes,normalization of data,not clearly reported,within,two,rmANOVA,rmANOVA,3,
Steinfurth EC and Kanen JW and Raio CM and Clem RL and Huganir RL and Phelps EA,2014,10.1101/lm.033589.113,Young and old Pavlovian fear memories can be modified with extinction training during reconsolidation in humans.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/24934333/,"Humans;Time Factors;Cues;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Behavior Therapy;Healthy Volunteers;Extinction, Psychological/*physiology;Memory/*physiology;Humanism;Humanities;Association Learning/physiology;Aversive Therapy/methods;Stress Disorders, Post-Traumatic/physiopathology/therapy",no,no,no,no,LD,80,46,,,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,"sqrt,rc",NA,NA,NA,srqt and range corrected in relation to the mean,no,NA,not clearly reported,between,one,t-test,ttest,3,
Spring JD and Wood NE and Mueller-Pfeiffer C and Milad MR and Pitman RK and Orr SP,2015,10.1111/psyp.12326,Prereactivation propranolol fails to reduce skin conductance reactivity to prepared fear-conditioned stimuli.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/25224026/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Cues;Skin;Propranolol;Adrenergic beta-Antagonists/*pharmacology;Propranolol/*pharmacology;Conditioning, Psychological/*drug effects;Fear/*drug effects;Memory/*drug effects;Galvanic Skin Response/*drug effects",no,no,no,no,LD,55,35,22.6,3.2,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,trial-level,within,8,ANOVA,rmANOVA,11,
Tinoco-González D and Fullana MA and Torrents-Rodas D and Bonillo A and Vervliet B and Pailhez G and Farré M and Andión O and Perez V and Torrubia R,2015,10.1002/cpp.1883,Conditioned Subjective Responses to Socially Relevant Stimuli in Social Anxiety Disorder and Subclinical Social Anxiety.,Clinical psychology & psychotherapy,https://pubmed.ncbi.nlm.nih.gov/24464952/,"Female;Humans;Male;Extinction, Psychological;Adult;Anxiety Disorders;Reflex, Startle;Electromyography;Anxiety;Arousal;Facial Expression;Fear/*psychology;Pattern Recognition, Visual;*Conditioning, Classical;Reference Values;Phobic Disorders/*diagnosis/*psychology;Agoraphobia/diagnosis/psychology;Panic Disorder/diagnosis/psychology",no,no,no,no,CD,40,39,20.85,2.42,yes,both,"Social Anxiety Scale, gender",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,within-subjects T-scores conversions,no,not reported,not reported,mixed,not reported,not reported,NA,11,"only Study2 extracted, as it has healthy participants; ANOVA type was mixed (2 between. two within-subj factors), coded as 'other'"
Tada M and Uchida H and Maeda T and Konishi M and Umeda S and Terasawa Y and Nakajima S and Mimura M and Miyazaki T and Takahashi T,2015,10.1371/journal.pone.0125729,Fear conditioning induced by interpersonal conflicts in healthy individuals.,PloS one,https://pubmed.ncbi.nlm.nih.gov/25978817/,"Female;Humans;Adult;Interpersonal Relations;Galvanic Skin Response/physiology;Fear/*psychology;Sound;*Conflict, Psychological",no,no,no,no,CD,29,29,24.0,3.1,yes,both,"ZAN-BPD, ERQ, NEO-PI-R, SCL-90-R",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,within,2,t-test,ttest,11,
Schroijen M and Pappens M and Schruers K and Van den Bergh O and Vervliet B and Van Diest I,2015,10.1016/j.beth.2015.05.004,Generalization of Fear to Respiratory Sensations.,Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/26459842/,"Female;Humans;Male;Adolescent;Young Adult;Learning;Sensation;Extinction, Psychological/physiology;Conditioning, Classical/physiology;Fear/physiology/*psychology;*Respiration;Panic Disorder/*physiopathology/psychology;*Sensation",no,no,no,no,CD,43,29,18.63,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,log,NA,NA,NA,[LOG10(SCR + 1)],no,not reported,average-level,mixed,3,ANOVA,rmANOVA,11,"startle EMG collected, but not analyzed due to high percent non-responders"
Starita F and Làdavas E and di Pellegrino G,2016,10.1038/srep27664,Reduced anticipation of negative emotional events in alexithymia.,Scientific reports,https://pubmed.ncbi.nlm.nih.gov/27278856/,"Female;Humans;Galvanic Skin Response;Male;Adult;Conditioning, Classical;Affective Symptoms;*Fear;*Anticipation, Psychological;Affective Symptoms/*physiopathology/psychology;Transcutaneous Electric Nerve Stimulation",no,no,no,no,CD,66,NA,NA,NA,yes,both,Toronto Alexithymia Scale (TAS-20),dependent variable,not reported,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,rc: SCR scaled to subject's max UCS response,yes,"ref (Schiller et al., 2008)",not reported,mixed,2,ANOVA,rmANOVA,11,
van 't Wout M and Mariano TY and Garnaat SL and Reddy MK and Rasmussen SA and Greenberg BD,2016,10.1016/j.brs.2016.03.004,Can Transcranial Direct Current Stimulation Augment Extinction of Conditioned Fear?,Brain stimulation,https://pubmed.ncbi.nlm.nih.gov/27037186/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Middle Aged;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Transcranial Direct Current Stimulation/*methods",no,no,no,no,CD,52,NA,NA,NA,yes,group,NA,dependent variable,calculating skewness & kurtosis,after,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,mixed,8,Linear Mixed Model,SCR∼tDCS Timing Group∗Trial Order∗Stimulus Type+(1∣Subject),11,
Sperl MFJ and Panitz C and Hermann C and Mueller EM,2016,10.1111/psyp.12677,A pragmatic comparison of noise burst and electric shock unconditioned stimuli for fear conditioning research with many trials.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/27286734/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;*Electroshock;*Noise;*Research Design/standards;Behavioral Research/*methods/standards",no,no,no,no,CD,32,28,22.88,2.61,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,yes,subjects,individual mean SCR/HP scores +/- 3 IQR,NA,NA,NA,NA,rc,NA,NA,NA,rc: divide SCR value by individual max SCR in each exp. phase,yes,"ref (Lykken & Venables, 1971)",trial-level,mixed,3,ANOVA,other,11,Heart period (HP) should be considered under transformation columns for HR or HRV? mixed-model ANOVA
Sjouwerman R and Niehaus J and Kuhn M and Lonsdorf TB,2016,10.1111/psyp.12761,Don't startle me-Interference of startle probe presentations and intermittent ratings with fear acquisition.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/27628268/,"Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Young Adult;Reproducibility of Results;Self Report;*Fear;Extinction, Psychological/physiology;*Conditioning, Classical;*Reflex, Startle;*Research Design",no,no,no,no,CD,72,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"log, rc",NA,NA,NA,rc: SCR/ SCR (CS_or_US_max),no,not reported,"SCR: not reported, EMG: average-level ",mixed,2,ANOVA,rmANOVA,11,
Thigpen NN and Bartsch F and Keil A,2017,10.1037/xge0000283,The malleability of emotional perception: Short-term plasticity in retinotopic neurons accompanies the formation of perceptual biases to threat.,Journal of experimental psychology. General,https://pubmed.ncbi.nlm.nih.gov/28383987/,"Female;Humans;Male;Young Adult;Fear/*physiology;Neuronal Plasticity/*physiology;Attention/*physiology;Bias (Epidemiology);Arousal/physiology;Avoidance Learning/physiology;Conditioning, Classical/physiology;Emotions/*physiology;Visual Cortex/*physiology;*Electroencephalography;Orientation/physiology;Visual Pathways/physiology;Visual Perception/*physiology;Autonomic Nervous System/physiology;Eye Movements/*physiology;*Signal Processing, Computer-Assisted;Retinal Neurons/*physiology",no,no,no,no,CD,17,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within,2,t-test,ttest,11,Only Exp1 extracted with HR
Thompson A and Lipp OV,2017,10.1016/j.brat.2017.01.017,Extinction during reconsolidation eliminates recovery of fear conditioned to fear-irrelevant and fear-relevant stimuli.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/28171767/,"Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Memory/*physiology",no,no,no,no,CD,56,31,24.39,7.71,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,rc: divide SCR value by individual max SCR,yes,"ref (Lykken, 1972)",trial-level,mixed,4,ANOVA,other,11,mixed ANOVA
Scheveneels S and Boddez Y and Bennett MP and Hermans D,2017,10.1016/j.jbtep.2017.03.002,One for all: The effect of extinction stimulus typicality on return of fear.,Journal of behavior therapy and experimental psychiatry,https://pubmed.ncbi.nlm.nih.gov/28329711/,"Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Galvanic Skin Response/physiology;Fear/*psychology;Extinction, Psychological/*physiology;*Conditioning, Classical;*Generalization, Psychological;Implosive Therapy/*methods",no,no,no,no,CD,69,50,21.3,4.18,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,rc: divide SCR difference scores by individual max US response,yes,"ref (Lykken & Venables, 1971; Dawson et al., 2000)",not reported,mixed,2,ANOVA,rmANOVA,11,
Shechner T and Fox NA and Mash JA and Jarcho JM and Chen G and Leibenluft E and Pine DS and Britton JC,2018,10.1017/S0954579417000554,Differences in neural response to extinction recall in young adults with or without history of behavioral inhibition.,Development and psychopathology,https://pubmed.ncbi.nlm.nih.gov/28534459/,"Female;Humans;Child;Male;Adult;Young Adult;Magnetic Resonance Imaging;Functional Neuroimaging;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/physiology;*Inhibition, Psychological;Mental Recall/*physiology;Temperament/physiology;Brain/diagnostic imaging/*physiology",no,no,no,no,CD,67,32,20.49,1.65,yes,individual,Behavioral Inhibition composite scores during childhood,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,mixed,3,ANOVA,rmANOVA,11,
Staib M and Bach DR,2018,10.1016/j.neuroimage.2017.11.009,Stimulus-invariant auditory cortex threat encoding during fear conditioning with simple and complex sounds.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/29122722/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Auditory Cortex;Conditioning, Classical/*physiology;Fear/*physiology;Magnetic Resonance Imaging/*methods;Auditory Perception/*physiology;Brain Mapping/*methods;Auditory Cortex/diagnostic imaging/*physiology",no,no,no,no,CD,38,21,23.75,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,z: trial-wise SCR centred on mean and dividey by sd,no,not reported,trial-level,within,2,Linear Mixed Model,SCR ∼CS∗context∗complexity+(1∣subject),11,
Stout DM and Acheson DT and Moore TM and Gur RC and Baker DG and Geyer MA and Risbrough VB,2018,10.1016/j.brat.2018.01.002,Individual variation in working memory is associated with fear extinction performance.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/29331727/,"Humans;Male;Young Adult;Inhibition, Psychological;Memory, Short-Term;Anticipation, Psychological;Extinction, Psychological/*physiology;*Individuality;Reflex, Startle/physiology;Anxiety/psychology;Conditioning, Psychological/physiology;Fear/physiology/*psychology;Memory, Short-Term/*physiology",no,no,no,no,CD,NA,0,NA,NA,yes,individual,WM (Short Letter-N-Back); Short Penn Continuous Performance Test-Number and Letter Version (sPCPT-nl),not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,raw,NA,NA,NA,NA,not reported,no,not reported,not reported,mixed,2,ANOVA,other,11,CONTACTED AUTHORS FOR SAMPLE SIZE! mixed ANOVA
Stout DM and Glenn DE and Acheson DT and Spadoni AD and Risbrough VB and Simmons AN,2018,10.1016/j.nlm.2018.03.012,Neural measures associated with configural threat acquisition.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/29544725/,"Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Middle Aged;Fear/*physiology;Galvanic Skin Response/physiology;Association Learning/*physiology;Amygdala/diagnostic imaging/*physiology;Hippocampus/diagnostic imaging/*physiology",no,no,no,no,CD,25,10,34.57,10.13,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,winsorizing of SCR scores +/- 3SD,NA,NA,NA,NA,other,other,NA,NA,"SCL: mean value smoothing, SCR: ""standardized within subject and across trials and conditions""",no,not reported,not reported,within,not reported,not reported,NA,11,
Tzovara A and Korn CW and Bach DR,2018,10.1371/journal.pcbi.1006243,Human Pavlovian fear conditioning conforms to probabilistic learning.,PLoS computational biology,https://pubmed.ncbi.nlm.nih.gov/30169519/,"Humans;Models, Theoretical;Cues;Conditioning, Classical/*physiology;Learning/*physiology;Humanism;Humanities;Fear/physiology;Machine Learning;Autonomic Nervous System/physiology;*Probability Learning",yes,no,no,no,CD,79,57,25.1,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,gaze position more +/- 5 degrees visual angle from fixation,NA,NA,NA,NA,not reported,NA,NA,not reported,SCR: Dynamic causal modeling (DCM); pupil: single-trial general linear convolution models (GLMs),no,not reported,not reported,within,40,Linear Mixed Model,"ANS~1 + CS*Trial, random =~ 1|Participant",11,"Trials N = 40; Exp. 2 using Trace Conditioning, excluded from participants demogtraphics"
Seligowski AV and Bondy E and Singleton P and Orcutt HK and Ressler KJ and Auerbach RP,2018,10.1016/j.psychres.2018.06.023,Testing neurophysiological markers related to fear-potentiated startle.,Psychiatry research,https://pubmed.ncbi.nlm.nih.gov/29913378/,"Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Learning/*physiology;Neurophysiology;Conditioning, Classical/physiology;Reflex, Startle/*physiology;Students/psychology;Electromyography/methods;Fear/*physiology/*psychology;Electroencephalography/methods",no,no,no,no,CD,83,NA,NA,NA,no,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,within,3,ANOVA,ANOVA_univariat,11,FPS as a diff score ([startle magnitude in the presence of a CS in each conditioning block] – [startle magnitude to NA])
Thompson A and McEvoy PM and Lipp OV,2018,10.1016/j.brat.2018.07.001,"Enhancing extinction learning: Occasional presentations of the unconditioned stimulus during extinction eliminate spontaneous recovery, but not necessarily reacquisition of fear.",Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/29981936/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Fear/*physiology/*psychology",no,no,no,no,LD,72,44,21.61,3.95,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,rc: each response divided by max SCR reponse of each participant,yes,"ref (Lykken, 1972; Dawson et al., 2007)",trial-level,mixed,3,ANOVA,rmANOVA,11,2x acquisition
Toumbelekis M and Liddell BJ and Bryant RA,2018,10.1093/scan/nsy065,Thinking of attachment figures blocks differential fear conditioning.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/30137625/,"Female;Humans;Male;Social Support;Extinction, Psychological;Young Adult;Reflex, Startle;Self Report;Fear/*psychology;Thinking;Conditioning, Psychological/*physiology;*Object Attachment",no,no,no,no,CD,71,51,20.22,3.76,yes,both,Experiences in Close Relationships (ECR-R),not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,mixed,2,ANOVA,rmANOVA,11,
Taylor VA and Roy M and Chang L and Gill LN and Mueller C and Rainville P,2018,10.1097/PSY.0000000000000634,Reduced Fear-Conditioned Pain Modulation in Experienced Meditators: A Preliminary Study.,Psychosomatic medicine,https://pubmed.ncbi.nlm.nih.gov/30134359/,"Female;Humans;Male;Adult;Aged;Middle Aged;Conditioning, Classical/*physiology;Fear/physiology;Galvanic Skin Response/*physiology;Reflex/*physiology;Pain/*physiopathology;Pain Perception/*physiology;Anticipation, Psychological/*physiology;*Mindfulness;*Meditation;Nociception/physiology",no,no,no,no,CD,62,31,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,mixed,2,Multilevel regression,other,11,"see Suppl. Materials for exclusion criteria, main SCR analyses etc. / Biceps femoris EMG to acquire nociceptive flexion reflex was recorded, but I decided not to included it here as startle EMG"
Struyf D and Hermans D and Vervliet B,2018,10.1016/j.brat.2018.09.005,Maximizing the generalization of fear extinction: Exposures to a peak generalization stimulus.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/30253271/,"Female;Humans;Male;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Generalization, Psychological/*physiology",no,no,no,no,CD,84,69,22.61,6.1,yes,group,NA,dependent variable,not reported,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,SCR: rc by dividing each individual response by max response of participant during entire experiment; sqrt,no,not reported,trial-level,mixed,2,Linear Mixed Model,SCR ∼ Stimulus*Block*Condition,11,
Shi L and Chen SJ and Deng JH and Que JY and Lin X and Sun Y and Bao YP and Shi J and Lu L,2018,10.1016/j.nlm.2018.11.004,ADRB2 gene polymorphism modulates the retention of fear extinction memory.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/30423370/,"Humans;Male;Adolescent;Adult;Young Adult;Polymorphism, Genetic;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Retention, Psychology/*physiology;Receptors, Adrenergic, beta-2/genetics/*physiology",no,no,no,no,CD,91,0,23.96,0.32,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt,no,not reported,not reported,mixed,2,ANOVA,rmANOVA,11,
Sperl MFJ and Panitz C and Rosso IM and Dillon DG and Kumar P and Hermann A and Whitton AE and Hermann C and Pizzagalli DA and Mueller EM,2019,10.1093/cercor/bhx353,Fear Extinction Recall Modulates Human Frontomedial Theta and Amygdala Activity.,"Cerebral cortex (New York, N.Y. : 1991)",https://pubmed.ncbi.nlm.nih.gov/29373635/,"Female;Humans;Male;Adult;Amygdala;Young Adult;Random Allocation;Extinction, Psychological/*physiology;Humanism;Humanities;Magnetic Resonance Imaging/methods;Photic Stimulation/methods;Fear/*physiology/psychology;Mental Recall/*physiology;Electroencephalography/methods;Prefrontal Cortex/diagnostic imaging/*physiology;Amygdala/diagnostic imaging/*physiology;Theta Rhythm/*physiology",no,no,no,no,CD,21,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,rc,NA,NA,NA,SCR: individual SCRs were normalized by dividing the raw SCR value of each CS by an individual’s maximum SCR value across all CS (separately for experimental phases),yes,"ref (Lykken & Venables, 1971)",trial-level,within,2,ANOVA,rmANOVA,11,
Tuominen L and Boeke E and DeCross S and Wolthusen RP and Nasr S and Milad M and Vangel M and Tootell R and Holt D,2019,10.1016/j.neuroimage.2018.12.034,The relationship of perceptual discrimination to neural mechanisms of fear generalization.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/30572112/,"Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Discrimination (Psychology);Galvanic Skin Response/*physiology;*Brain Mapping;Discrimination, Psychological/*physiology;Facial Recognition/physiology;Cerebral Cortex/diagnostic imaging/*physiology;Generalization, Response/*physiology",no,no,no,no,CD,38,17,28.51,5.81,yes,both,sex,dependent variable,one-sample Kolmogorov-Smirnov test,before,not reported,NA,yes,Mauchly's test,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt,yes,ref/standard procedures,trial-level,within,2,t-test,ttest,11,
Traxler J and Schrooten MGS and Dibbets P and Vancleef LMG,2019,10.1515/sjpain-2018-0112,Interpretation bias in the face of pain: a discriminatory fear conditioning approach.,Scandinavian journal of pain,https://pubmed.ncbi.nlm.nih.gov/30379643/,"Female;Humans;Male;Surveys and Questionnaires;Adult;Young Adult;Reflex, Startle;Bias (Epidemiology);*Fear;Anxiety/*psychology;*Conditioning, Classical;Netherlands;*Bias;Facial Pain;*Chronic Pain;Electric Stimulation Therapy",no,no,no,no,CD,36,29,22.36,4.63,yes,group,NA,dependent variable,not reported,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,starle EMG: startle response amplitudes were standardized as z-scores per person across all trials,yes,ref,trial-level,within,2,ANOVA,rmANOVA,11,
Starita F and Kroes MCW and Davachi L and Phelps EA and Dunsmoor JE,2019,10.1037/xge0000551,Threat learning promotes generalization of episodic memory.,Journal of experimental psychology. General,https://pubmed.ncbi.nlm.nih.gov/30667260/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Generalization, Psychological/*physiology;*Memory, Episodic",yes,no,no,no,CD,30,NA,NA,NA,unclear,both,"STAI, IUS",dependent variable,not reported,after,yes,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,not reported,trial-level,within,2,t-test,ttest,11,
