"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Knight, David C. and Nguyen, Hanh T. and Bandettini, Peter A.","2006","10.3758/CABN.6.2.157","The role of awareness in delay and trace fear conditioning in humans","Cognitive, Affective & Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-11420-007&site=ehost-live","Female;Humans;Time Factors;Galvanic Skin Response;Male;Cognition;Fear;Adult;Awareness;Middle Aged;skin conductance response;Skin Resistance;Conditioned Fear;Conditioned Stimulus;Unconditioned Stimulus;delay;unconditioned stimulus;Conditioning (Psychology);awareness;trace fear conditioning;Humanism;Humanities","no","no","no","no","CD","26","13","30.77","1.78","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,"SCR data were normalized (no further information)","yes","reference: Lykken & Venables, 1971","not reported","within","2","paired t-tests","ttest","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LaBar, Kevin S. and Cook, Craig A. and Torpey, Dana C. and Welsh-Bohmer, Kathleen A.","2004","10.1037/0735-7044.118.5.905","Impact of Healthy Aging on Awareness and Fear Conditioning","Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-19432-004&site=ehost-live","Female;Humans;Male;Health;Adolescent;Fear;Adult;Aging;Analysis of Variance;Aged;Awareness;Middle Aged;fear conditioning;Neuropsychological Tests;Classical Conditioning;contingency awareness;Age Differences;unconditioned stimulus;Conditioning (Psychology);Aged, 80 and over;age-associated changes;discriminant conditioning;Healthy Aging;reinforcement contingencies;visual conditioned stimuli","no","no","no","no","CD","87","58","50.33","4","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"not reported",NA,NA,"not reported","mixed","2","ANOVA","rmANOVA","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knight, David C. and Smith, Christine N. and Cheng, Dominic T. and Stein, Elliot A. and Helmstetter, Fred J.","2004","10.3758/CABN.4.3.317","Amygdala and hippocampal activity during acquisition and extinction of human fear conditioning","Cognitive, Affective & Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-20441-004&site=ehost-live","Female;Humans;Male;Adolescent;Extinction, Psychological;Fear;Adult;Amygdala;Hippocampus;Brain;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;Association Learning;amygdala;Conditioned Fear;human fear conditioning;Humanism;Humanities;Reference Values;brain activity;hippocampal activity","no","no","no","no","CD","30","17","24.5","5.17","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc",NA,NA,NA,"All skin conductance data were range corrected by dividing each participant’s raw skin conductance by his or her mean skin conductance level across each training block","no",NA,"trial-level","within","2","paired t-tests","ttest","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knight, David C. and Cheng, Dominic T. and Smith, Christine N. and Stein, Elliot A. and Helmstetter, Fred J.","2004","10.1523/JNEUROSCI.0433-03.2004","Neural Substrates Mediating Human Delay and Trace Fear Conditioning","The Journal of Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-10125-007&site=ehost-live","Female;Humans;Time Factors;Male;Adolescent;Fear;Adult;Hippocampus;Neurons;Brain;Magnetic Resonance Imaging;Conditioning, Classical;fear conditioning;Conditioned Fear;hippocampus;Electric Stimulation;Electroshock;delay conditioning;Electric Conductivity;Humanism;Humanities;anterior cingulate;neural substrates","no","no","no","no","CD","17","9","23","6","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","within","4","ANOVA","rmANOVA","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"López Medina, Miguel Ángel and Rodríguez Valverde, Miguel and Hernández López, Mónica","2016","","Transfer of conditioned fear-potentiated startle across equivalence classes An exploratory study","International Journal of Psychology & Psychological Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-55818-003&site=ehost-live","fear conditioning;Psychophysiology;Skin Resistance;Conditioned Fear;generalization;Startle Reflex;fear-potentiated startle;Generalization (Learning);transfer of functions;equivalence relations","no","no","no","no","CD","27","20","20.04",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t","not reported",NA,NA,NA,"EMG amplitude scores were standardized into T-scores (within subject) in order to normalize data and reduce between-subject variability.","no",NA,"trial-level","within","4","MANOVA","ANOVA_multivariat","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Klumpers F and Heitland I and Oosting RS and Kenemans JL and Baas JM","2012","10.1016/j.biopsycho.2011.10.018","Genetic variation in serotonin transporter function affects human fear expression indexed by fear-potentiated startle.","Biological psychology","https://pubmed.ncbi.nlm.nih.gov/22061270/","Female;Humans;Male;Genetic Variation;Adolescent;Adult;Cues;Acoustic Stimulation;Alleles;Genotype;Fear/*physiology;Serotonin Plasma Membrane Transport Proteins;Humanism;Humanities;*Polymorphism, Genetic;Anxiety/genetics;Reflex, Startle/*genetics;Reflex/*genetics;Serotonin Plasma Membrane Transport Proteins/*genetics","no","no","no","no","CD","95",NA,NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"z",NA,NA,NA,NA,"startle magnitudes from the habituation trials were log-transformed to correct deviations from normality; startle magnitudes for all experimental conditions were transformed to z-scores per subject to simultaneously control for impact of baseline startle on fear-potentiated startle; raw data is also reported","no",NA,"trial-level","mixed","3","ANOVA","rmANOVA","7","n_without_exclusions=82; n_female_total only reported for n_without exclusions=60; M_age and SD_age not reported at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linnman C and Zeidan MA and Pitman RK and Milad MR","2012","10.1016/j.biopsycho.2011.12.012","Resting cerebral metabolism correlates with skin conductance and functional brain activation during fear conditioning.","Biological psychology","https://pubmed.ncbi.nlm.nih.gov/22207247/","Female;Humans;Male;Adult;Brain;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Conditioning, Classical/*physiology;Fear/*physiology;Electroshock;Galvanic Skin Response/*physiology;Rest;Brain Mapping/methods;Brain/diagnostic imaging/*metabolism;Neural Pathways/diagnostic imaging/*physiology;Radionuclide Imaging","no","no","no","no","CD","20","10","26","5","not reported","individual","resting cerebral metabolism","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"not reported","no",NA,"not reported","within","2","regression analyses","linear regression","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kurayama T and Matsuzawa D and Komiya Z and Nakazawa K and Yoshida S and Shimizu E","2012","10.1016/j.ijpsycho.2012.01.004","P50 suppression in human discrimination fear conditioning paradigm using danger and safety signals.","International journal of psychophysiology : official journal of the International           Organization of Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/22251449/","Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Discrimination (Psychology);Dangerous Behavior;Extinction, Psychological/*physiology;Humanism;Humanities;Electric Stimulation/methods;Fear/*physiology/psychology;Auditory Perception/physiology;Electroencephalography/methods;Evoked Potentials, Auditory/*physiology;Discrimination, Psychological/*physiology;Acoustic Stimulation/*methods","no","no","no","no","CD","25","14","27.5","4","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,"not reported","no",NA,"not reported","within","3","ANOVA","rmANOVA","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lovibond, Peter F. and Davis, Natasha R. and O'Flaherty, Ailie S.","2000","10.1016/S0005-7967(99)00121-7","Protection from extinction in human fear conditioning","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-16108-001&site=ehost-live","Attention;Female;Humans;Male;Adolescent;Extinction, Psychological;Fear;Adult;Conditioning, Classical;Arousal;Extinction (Learning);Classical Conditioning;Stimulus Parameters;Electroshock;Inhibition (Psychology);college students;Humanism;Humanities;Interference (Learning);protection from extinction & ability of added stimulus to interfere with extinction of target exc...","no","no","no","no","CD","26","19",NA,NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,NA,"mean corrected",NA,NA,"SCL were mean-corrected: SCL change score on each trial as a proportion of the mean SCL change score for that subject over all trials","yes","reference: Lovibond (1992)","trial-level","within","5","multivariate model for repeated measures","other","7","n_with_exclusions=20; n_female_total=12 for experiment 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levar, Nina and van Leeuwen, Judith M. C. and Puts, Nicolaas A. J. and Denys, Damiaan and van Wingen, Guido A.","2017","10.3389/fnhum.2017.00202","GABA concentrations in the anterior cingulate cortex are associated with fear network function and fear recovery in humans","Frontiers in Human Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-20321-001&site=ehost-live","Humans;Fear;fMRI;extinction;SCR;fear;Cingulate Cortex;Gamma Aminobutyric Acid;gamma-Aminobutyric Acid;Gyrus Cinguli;Biological Neural Networks;GABA;Receptors, GABA-A;Humanism;Humanities;dACC;MRS;recovery","no","no","no","no","CD","106","0","21.75","3.17","not reported","both","GABA levels","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","mean SCR in last four trials of the conditioning phase below 2 SD of the group mean",NA,NA,NA,NA,"rc",NA,NA,NA,"SCR data was standardized to the largest elicited SCRs (max(SCR)), which were the unconditioned responses to the shocks. We used the average of the SCRs (Avgmax(SCR)) to the US responses to standardize data (SCR/Avgmax(SCR))","yes","due to large inter-individual differences in SCRs","trial-level","within","not clear","Wilcoxon-Mann-Whitney test","other","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee, Tae-Ho and Greening, Steven G. and Mather, Mara","2015","10.3389/fpsyg.2015.01173","Encoding of goal-relevant stimuli is strengthened by emotional arousal in memory","Frontiers in Psychology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-41014-001&site=ehost-live","arousal;Arousal;Conditioned Fear;Memory;emotion;Physiological Arousal;Human Information Storage;memory;Emotional States;fear-conditioning;arousal-biased competition;emotion-induced memory enhancement;top-down goal","no","no","no","no","CD","33","24","20.22",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,"not reported","no",NA,"not reported","within","2","t-test","ttest","7","n_with_exclusions=27, n_female_total= 16 and M_age= 20.30 for study 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuriyama, Kenichi and Soshi, Takahiro and Kim, Yoshiharu","2010","10.1016/j.biopsych.2010.08.015","Sleep deprivation facilitates extinction of implicit fear generalization and physiological response to fear","Biological Psychiatry","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-20952-001&site=ehost-live","Female;Humans;Stress, Psychological;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Analysis of Variance;fear conditioning;Mental Recall;Arousal;Conditioned Fear;Physiological Arousal;Sleep Deprivation;Generalization (Psychology);episodic memory;Episodic Memory;Recognition (Psychology);sleep deprivation;event memory;implicit fear conditioning;physiological fear responses","no","no","no","no","CD","28","13","23.3",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"","",NA,"","","","","","","","","","","","","","","9","Studie nachträglich ausgeschlossen, da überhaupt kein Fear Conditioning durchgeführt wurde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"López R and Poy R and Patrick CJ and Moltó J","2013","10.1111/j.1469-8986.2012.01493.x","Deficient fear conditioning and self-reported psychopathy: the role of fearless dominance.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/23240559/","Female;Humans;Male;Adult;Neuropsychological Tests;Arousal;Galvanic Skin Response/physiology;Fear/*psychology;Extinction, Psychological/physiology;Habituation, Psychophysiologic/physiology;Conditioning, Psychological/*physiology;Antisocial Personality Disorder/*psychology;Diagnostic and Statistical Manual of Mental Disorders;*Social Dominance;Impulsive Behavior/psychology","no","no","no","no","CD","74","42",NA,NA,"not reported","both","PPI-R","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"SC change scores were logarithmized (log[SC+1]) to normalize the score distribution","no",NA,"not reported","mixed","2","correlation, repeated measures GLM","other","9","/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maier, Simon and Szalkowski, Anna and Kamphausen, Susanne and Perlov, Evgeniy and Feige, Bernd and Blechert, Jens and Philipsen, Alexandra and van Elst, Ludger Tebartz and Kalisch, Raffael and Tüscher, Oliver","2012","10.1371/journal.pone.0050120","Clarifying the role of the rostral dmPFC/dACC in fear/ anxiety: Learning, appraisal or expression?","PLoS ONE","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-03418-001&site=ehost-live","Female;Humans;Male;Fear;Adult;Young Adult;Brain Mapping;Learning;Magnetic Resonance Imaging;Middle Aged;anxiety;Anxiety;Conditioned Fear;learning;fear;Cognitive Appraisal;prefrontal cortex;Prefrontal Cortex;Cingulate Cortex;Gyrus Cinguli;cingulate cortex;appraisal;expression","no","no","no","no","CD","34","21","33",NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","within","2","rmANOVA","rmANOVA","9","study contains 2 experiments with 2 independent samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linnman, Clas and Rougemont-Bücking, Ansgar and Beucke, Jan Carl and Zeffiro, Thomas A. and Milad, Mohammed R.","2011","10.1016/j.bbr.2011.02.045","Unconditioned responses and functional fear networks in human classical conditioning","Behavioural Brain Research","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-06611-001&site=ehost-live","Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Brain;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;functional magnetic resonance imaging;Psychophysiology;Classical Conditioning;Functional Magnetic Resonance Imaging;Unconditioned Responses;Electroshock;Reinforcement (Psychology);Neural Pathways;human classical conditioning;Biological Neural Networks;functional fear networks;neural responses;unconditioned responses;Humanism;Humanities","no","no","no","no","CD","24","13","30","11","not reported","both","fear, interregional coupling","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","mixed","2","PPI (correlation); not reported which test used for SCR","multiple","9","although figure 1 caption depicts SCR data of one subject taht was normalized, it is unclear whether this was done only for vizualization or also in general / unclear about the statistical test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lovibond, Peter F. and Chen, Shirley X. and Mitchell, Christopher J. and Weidemann, Gabrielle","2013","10.1016/j.biopsycho.2011.09.007","Competition between an avoidance response and a safety signal: Evidence for a single learning system","Biological Psychology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-23355-001&site=ehost-live","Female;Humans;Galvanic Skin Response;Male;Fear;Learning;Conditioning, Classical;Acoustic Stimulation;skin conductance;Conditioned Fear;Shock;conditioned fear;Avoidance;Operant Conditioning;Avoidance Learning;Electroshock;Avoidance Conditioning;Students;Universities;Conditioning, Operant;electric shock;Psychoacoustics;Signal Detection, Psychological;safety signal;avoidance responses;learning system","no","no","no","no","CD","142","86",NA,NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"SCL data were log transformed to minimise individual differences and normalise the distribution, using the formula log(postCS score + 1) − log (baseline score + 1).","yes, but not in respect to guidelines (see last cell) ","to minimise individual differences and normalise the distribution","not reported","within","3","multivariate, repeated measures model (O’Brien and Kaiser, 1985","other","9","study reports two experiment with two samples. numbers were combined; not sure about the statistical testand number of factors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knight, David C. and Waters, Najah S. and King, Margaret K. and Bandettini, Peter A.","2010","10.1016/j.neuroimage.2009.07.012","Learning-related diminution of unconditioned SCR and fMRI signal responses","NeuroImage","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-14920-001&site=ehost-live","Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Learning;Magnetic Resonance Imaging;fMRI;Conditioning, Classical;Acoustic Stimulation;conditioning;skin conductance response;Skin Resistance;Memory;Classical Conditioning;Unconditioned Stimulus;learning;Functional Magnetic Resonance Imaging;prefrontal cortex;Prefrontal Cortex;insula;Insula;Parietal Lobe;Psychomotor Performance;Cerebrovascular Circulation;Auditory Threshold;parietal lobe","no","no","no","no","CD","15","7","28.87","1.69","not reported","both","CS perception, UCS expectancy","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","mixed","2","t-test, multiple linear regression","linear regression","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ly, Verena and Roelofs, Karin","2009","10.1016/j.brat.2009.06.015","Social anxiety and cognitive expectancy of aversive outcome in avoidance conditioning","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-14178-001&site=ehost-live","Female;Humans;Male;Cognition;Adolescent;Extinction, Psychological;Fear;Adult;Reflex, Startle;Anxiety;Aversive Stimulation;Phobic Disorders;Expectations;Avoidance Learning;Social Anxiety;Conditioning (Psychology);Avoidance Conditioning;social anxiety;avoidance conditioning;aversive outcomes;cognitive expectancy","no","no","no","no","CD","48","24","20.49","2.86","yes","both","US expectancy, dSCL","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,"dSCL data was log transformed as follows, log (post-CS score þ 1) – log (baseline score þ 1) to minimize individual differences and normalize the distribution.","yes, but not in respect to guidelines (see last cell) ","to minimise individual differences and normalise the distribution","not reported","mixed","3","rmANOVA ","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
