,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,,
"Neumann, David L. and Longbottom, Paula L.",2008,10.1016/j.brat.2007.12.004,The renewal of extinguished conditioned fear with fear-relevant and fear-irrelevant stimuli by a context change after extinction,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-01554-004&site=ehost-live,"Attention;Female;Humans;Environment;Galvanic Skin Response;Male;Adolescent;Extinction, Psychological;Fear;Adult;Conditioning, Classical;extinction;Association Learning;Cues;Middle Aged;Conditioning;Conditioned Fear;Extinction (Learning);Unconditioned Stimulus;conditioned fear;Phobic Disorders;Psychological Tests;context change;fear-relevant & fear-irrelevant stimuli",no,no,no,no,CD,138,113,22.8,NA,not reported,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,yes,ref,not reported,mixed,8,ANOVA,rmANOVA,10,"Factor refers to Trials; Aggregated Data from Exp 1 and Exp 2, becasue same transformation method",
"Milad, Mohammed R. and Quirk, Gregory J. and Pitman, Roger K. and Orr, Scott P. and Fischl, Bruce and Rauch, Scott L.",2007,10.1016/j.biopsych.2007.04.032,A role for the human dorsal anterior cingulate cortex in fear expression,Biological Psychiatry,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-17547-026&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Brain Mapping;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Oxygen;Conditioned Fear;conditioned fear;Prefrontal Cortex;Cingulate Cortex;fear expression;Regression Analysis;Gyrus Cinguli;Expressed Emotion;Humanism;Humanities;human dorsal anterior cingulate cortex",no,no,no,no,CD,27,12,NA,NA,yes,individual,"cortical thickness, BOLD Contrast",not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,no,not reported,not reported,within,NA,regression,linear regression,10,Also checked supplement,
"Milad, Mohammed R. and Wright, Christopher I. and Orr, Scott P. and Pitman, Roger K. and Quirk, Gregory J. and Rauch, Scott L.",2007,10.1016/j.biopsych.2006.10.011,Recall of fear extinction in humans activates the ventromedial prefrontal cortex and hippocampus in concert,Biological Psychiatry,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-12928-017&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Hippocampus;Magnetic Resonance Imaging;Conditioning, Classical;Image Processing, Computer-Assisted;Oxygen;Mental Recall;Conditioned Fear;Memory;Extinction (Learning);Safety;conditioned fear;Prefrontal Cortex;hippocampus;Recall (Learning);extinction learning;recall;Psychophysics;Humanism;Humanities;ventromedial prefrontal cortex;concert;safety memory",no,no,no,no,CD,17,8,25,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,within,2,t-test,ttest,10,sqrt transformation is only indicated by the figure label mnot in the text,
Merz CJ and Hamacher-Dang TC and Wolf OT,2014,10.1016/j.psyneuen.2013.12.009,Exposure to stress attenuates fear retrieval in healthy men.,Psychoneuroendocrinology,https://pubmed.ncbi.nlm.nih.gov/24495610/,"Humans;Male;Adolescent;Fear;Adult;Young Adult;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Healthy Volunteers;Extinction, Psychological/physiology;Fear/*physiology/*psychology;Mental Recall/*physiology;Saliva/metabolism;Hydrocortisone/metabolism;Stress, Physiological/*physiology",no,no,no,no,CD,40,0,24.9,0.9,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,natural logarithm LN(1+µS),no,not reported,not reported,mixed,2,ANOVA,rmANOVA,10,,
Mühlberger A and Andreatta M and Ewald H and Glotzbach-Schoon E and Tröger C and Baumann C and Reif A and Deckert J and Pauli P,2014,10.1038/npp.2013.320,The BDNF Val66Met polymorphism modulates the generalization of cued fear responses to a novel context.,Neuropsychopharmacology : official publication of the American College of  Neuropsychopharmacology,https://pubmed.ncbi.nlm.nih.gov/24247044/,"Female;Humans;Male;Adult;Young Adult;Discrimination, Psychological;Photic Stimulation;Brain-Derived Neurotrophic Factor;Polymorphism, Genetic;Genotype;Electroshock;Double-Blind Method;*Conditioning, Psychological;*Fear;*Cues;*Generalization, Psychological;*Polymorphism, Single Nucleotide;Brain-Derived Neurotrophic Factor/*genetics;Reflex, Startle/genetics;Anxiety/genetics",no,no,no,no,CD,93,NA,NA,NA,partially,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,sqrt,NA,NA,NA,not reported,yes,startle: guideline,across trials,mixed,2,ANOVA,rmANOVA,10,,
Mungee A and Kazzer P and Feeser M and Nitsche MA and Schiller D and Bajbouj M,2014,10.1097/WNR.0000000000000119,Transcranial direct current stimulation of the prefrontal cortex: a means to modulate fear memories.,Neuroreport,https://pubmed.ncbi.nlm.nih.gov/24384505/,"Female;Humans;Male;Young Adult;Conditioning, Psychological;Photic Stimulation;Neuropsychological Tests;Memory;Prefrontal Cortex;Fear/*physiology;Memory/*physiology;Functional Laterality;Prefrontal Cortex/*physiology;*Transcranial Direct Current Stimulation",no,no,no,no,CD,74,NA,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt,rc",NA,NA,NA,Square root transformation of the raw data was performed to normalize distributions. Each participant’s normalized score was then divided by the mean square-root-transformed US response of that participant.,no,not reported,not reported,mixed,2,t-test,ttest,10,,
Meir Drexler S and Merz CJ and Hamacher-Dang TC and Marquardt V and Fritsch N and Otto T and Wolf OT,2014,10.1037/a0036688,Effects of postretrieval-extinction learning on return of contextually controlled cued fear.,Behavioral neuroscience,https://pubmed.ncbi.nlm.nih.gov/24841740/,"Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Learning;Electric Stimulation;*Extinction, Psychological;*Fear;*Conditioning, Classical;*Memory;*Cues",no,no,no,no,CD,39,19,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,"not reported, only in figure: ln(1+µS)",no,not reported,not reported,mixed,16,ANOVA,rmANOVA,10,,
Marshall AJ and Acheson DT and Risbrough VB and Straus LD and Drummond SP,2014,10.1523/JNEUROSCI.0478-14.2014,"Fear conditioning, safety learning, and sleep in humans.",The Journal of neuroscience : the official journal of the Society for  Neuroscience,https://pubmed.ncbi.nlm.nih.gov/25164670/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Learning/*physiology;Humanism;Humanities;Sleep, REM/*physiology;Stress Disorders, Post-Traumatic/complications/*physiopathology",no,no,no,no,CD,42,18,24.1,5,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,within,4,t-test,ttest,1,n = 29,
Merz CJ and Hermann A and Stark R and Wolf OT,2014,10.1093/scan/nst137,Cortisol modifies extinction learning of recently acquired fear in men.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/23945999/,"Humans;Male;Hydrocortisone;Adolescent;Adult;Young Adult;Magnetic Resonance Imaging;Analysis of Variance;Image Processing, Computer-Assisted;Oxygen/blood;Fear/*drug effects;Conditioning, Classical/*drug effects;Extinction, Psychological/*drug effects;Galvanic Skin Response/drug effects;Hydrocortisone/pharmacology;Brain/blood supply/drug effects",no,no,no,no,CD,32,0,24.6,3.95,unclear,group,NA,not specified,not reported,not reported,not reported,NA,not reported,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,not reported,no,not reported,not reported,mixed,2,ANOVA,rmANOVA,1,n = 30,
Martínez KG and Franco-Chaves JA and Milad MR and Quirk GJ,2014,10.1371/journal.pone.0114977,Ethnic differences in physiological responses to fear conditioned stimuli.,PloS one,https://pubmed.ncbi.nlm.nih.gov/25501365/,"Female;Humans;Male;Age Factors;Analysis of Variance;Sex Factors;Galvanic Skin Response/physiology;Educational Status;Fear/*psychology;Extinction, Psychological/physiology;Conditioning, Psychological/*physiology;White People/*psychology;Hispanic or Latino/*psychology;Massachusetts;Puerto Rico",yes,no,no,no,CD,78,40,24.6,3.5,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,not reported,NA,NA,NA,NA,NA,NA,mixed,5,ANOVA,ANOVA_univariat,1,,
Meulders A and Harvie DS and Lorimer Moseley G and Vlaeyen JW,2015,10.1016/j.beth.2015.02.004,Generalization of Pain-Related Fear Using a Left-Right Hand Judgment Conditioning Task.,Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/26459849/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Conditioning, Classical;Middle Aged;Phobic Disorders;Electroshock;Intention;Fear/*psychology;*Judgment;*Imagination;*Movement;*Pain",no,no,no,no,CD,50,41,22,4.23,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t",NA,NA,NA,NA,not reported,yes,explanation,not reported,within,4,ANOVA,rmANOVA,1,,
Molapour T and Golkar A and Navarrete CD and Haaker J and Olsson A,2015,10.1016/j.neuroimage.2015.07.015,Neural correlates of biased social fear learning and interaction in an intergroup context.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/26166625/,"Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Fear/*physiology;Bias (Epidemiology);*Interpersonal Relations;*Social Perception;Amygdala/*physiology;Conditioning, Psychological/*physiology;Temporal Lobe/*physiology;Brain Mapping/*methods;Facial Recognition/*physiology;*Racism",no,no,no,no,CD,20,10,22.39,3.82,yes,group,NA,not specified,not reported,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,within,2,ANOVA,rmANOVA,1,,
Mertens G and De Houwer J,2016,10.1016/j.biopsycho.2015.11.014,Potentiation of the startle reflex is in line with contingency reversal instructions rather than the conditioning history.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/26655786/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Memory/physiology;Galvanic Skin Response/physiology;Set, Psychology;Association Learning/physiology;H-Reflex;Reflex, Startle/*physiology;Psychomotor Performance/physiology;Conditioning, Psychological/*physiology;Fear/psychology;Cognition/physiology;Reversal Learning/*physiology",no,no,no,no,CD,36,25,21.44,2.66,not reported,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"rc, sqrt",NA,NA,NA,rc with highest recorded amplitude for that participant,yes,reference,not reported,within,3,ANOVA,ANOVA_univariat,1,,
Mueller EM and Pizzagalli DA,2016,10.1093/scan/nsv122,One-year-old fear memories rapidly activate human fusiform gyrus.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/26416784/,"Female;Humans;Male;Adult;Young Adult;Electroencephalography;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Memory/*physiology;Humanism;Humanities;Extinction, Psychological/physiology;Temporal Lobe/*physiology",no,no,no,no,LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,no FC acq reported,EXCLUSION
Merz CJ and Hamacher-Dang TC and Wolf OT,2016,10.1016/j.nlm.2016.03.013,Immediate extinction promotes the return of fear.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/26995309/,"Humans;Time Factors;Male;Fear;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Galvanic Skin Response/*physiology;Mental Recall/*physiology",no,no,no,no,CD,40,0,25.45,4.3,no,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,natural logarithm,no,not reported,not reported,mixed,3,ANOVA,other,1,mixed ANOVA,demographics reported elsewhere
Morriss J and Macdonald B and van Reekum CM,2016,10.1371/journal.pone.0154494,What Is Going On Around Here? Intolerance of Uncertainty Predicts Threat Generalization.,PloS one,https://pubmed.ncbi.nlm.nih.gov/27167217/,"Female;Humans;Male;Extinction, Psychological;Young Adult;Galvanic Skin Response/physiology;Fear/*psychology;*Uncertainty;Multilevel Analysis",no,no,no,no,CD,54,49,19.48,NA,not reported,both,"IU, PSWQ, STAIX-2",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, z",NA,NA,NA,not reported,yes,explanation,not reported,mixed,4,multilevel model,other,1,n = 43,multilevel model
Marstaller L and Burianová H and Reutens DC,2016,10.1016/j.neuroimage.2016.04.008,Dynamic competition between large-scale functional networks differentiates fear conditioning and extinction in humans.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/27079532/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Brain/physiology;Nerve Net/*physiology;Adaptation, Physiological/physiology",no,no,no,no,CD,30,15,26,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,mixed,2,ANOVA,ANOVA_univariat,1,,
Mertens G and Kuhn M and Raes AK and Kalisch R and De Houwer J and Lonsdorf TB,2016,10.1080/02699931.2015.1038219,Fear expression and return of fear following threat instruction with or without direct contingency experience.,Cognition & emotion,https://pubmed.ncbi.nlm.nih.gov/25966279/,"Female;Humans;Male;Adult;Galvanic Skin Response/physiology;Fear/*psychology;Reflex, Startle/*physiology;Conditioning, Psychological/*physiology",no,no,no,no,CD,44,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"log, rc",NA,NA,NA,not reported,no,not reported,not reported,mixed,4,ANOVA,other,1,mixed ANOVA,
Morriss J and Christakou A and van Reekum CM,2016,10.1016/j.biopsycho.2016.05.001,Nothing is safe: Intolerance of uncertainty is associated with compromised fear extinction learning.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/27178640/,"Female;Humans;Risk Factors;Male;Adolescent;Adult;Young Adult;Cues;Acoustic Stimulation;Safety;Fear/*physiology;Extinction, Psychological/*physiology;Arousal/*physiology;Conditioning, Classical/physiology;Galvanic Skin Response/*physiology;Autonomic Nervous System/physiopathology;Pattern Recognition, Visual/physiology;*Uncertainty;Anxiety Disorders/*physiopathology/*psychology",no,no,no,no,CD,38,32,NA,NA,not reported,both,"IU, PSWQ, STAIX-2",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,mixed,2,ANOVA,rmANOVA,1,,
Marstaller L and Burianová H and Reutens DC,2017,10.1002/hbm.23442,Adaptive contextualization: A new role for the default mode network in affective learning.,Human brain mapping,https://pubmed.ncbi.nlm.nih.gov/27767246/,"Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Magnetic Resonance Imaging;Reinforcement, Psychology;Image Processing, Computer-Assisted;Reaction Time;*Models, Neurological;Conditioning, Psychological/*physiology;*Generalization, Psychological;*Fear/psychology;Brain/*diagnostic imaging/*physiology",no,no,no,no,LD,30,15,26,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,not reported,NA,NA,NA,within,2,ANOVA,ANOVA_univariat,11,,
Meir Drexler S and Wolf OT,2017,10.1016/j.psyneuen.2016.11.027,Stress disrupts the reconsolidation of fear memories in men.,Psychoneuroendocrinology,https://pubmed.ncbi.nlm.nih.gov/28024275/,"Humans;Male;Adolescent;Adult;Young Adult;Neuropsychological Tests;Memory;Galvanic Skin Response/physiology;Fear/*psychology;Stress, Psychological/*psychology;Extinction, Psychological/physiology;Blood Pressure/physiology;Saliva/chemistry;Hydrocortisone/analysis;Memory Consolidation/*physiology",no,no,no,no,CD,72,0,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,yes,subjects,differential SCR (d = |(CS1+) - (CS2+)|) > 1.5 IQR above the higher quartile [5 subjs excluded],NA,NA,NA,NA,log,NA,NA,NA,ln(1+μS),no,NA,not reported,mixed,3,ANOVA,ANOVA_univariat,11,,
Meulders A and Vandael K and Vlaeyen JW,2017,10.1016/j.beth.2016.11.014,Generalization of Pain-Related Fear Based on Conceptual Knowledge.,Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/28390494/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Healthy Volunteers;Fear/*psychology;*Avoidance Learning;Pain/*psychology;*Association Learning;*Generalization, Psychological;*Movement;*Pain Perception",no,no,no,no,CD,50,31,23.32,4.32,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t",NA,NA,NA,NA,raw scores were transformed to z-scores. T-scores (a linear transformation of z-scores) were used in the figures only (to optimize the visualization of startle data and avoide negative values in y-axis),no,NA,not reported,within,4,ANOVA,rmANOVA,11,,
Moratti S and Giménez-Fernández T and Méndez-Bértolo C and de Vicente-Pérez F,2017,10.1111/psyp.12841,Conditioned inhibitory and excitatory gain modulations of visual cortex in fear conditioning: Effects of analysis strategies of magnetocortical responses.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/28169431/,"Female;Humans;Male;Adult;Brain Mapping;Middle Aged;Photic Stimulation;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Visual Cortex;Fear/physiology;Brain/*physiology;Visual Cortex/*physiology;Neural Inhibition/*physiology",no,no,no,no,CD,17,14,41.5,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,not reported,NA,NA,NA,within,3,ANOVA,rmANOVA,11,,
Merz CJ and Hamacher-Dang TC and Stark R and Wolf OT and Hermann A,2018,10.1038/npp.2017.227,Neural Underpinnings of Cortisol Effects on Fear Extinction.,Neuropsychopharmacology : official publication of the American College of  Neuropsychopharmacology,https://pubmed.ncbi.nlm.nih.gov/28948980/,"Humans;Male;Hydrocortisone;Adult;Young Adult;Magnetic Resonance Imaging;Double-Blind Method;Fear/*drug effects;Conditioning, Classical/*drug effects;Extinction, Psychological/*drug effects;Brain Mapping/*methods;Galvanic Skin Response/*drug effects;Amygdala/diagnostic imaging/*drug effects;Hippocampus/diagnostic imaging/*drug effects;Hydrocortisone/administration & dosage/*pharmacology;Memory Consolidation/*drug effects;Mental Recall/*drug effects;Parahippocampal Gyrus/diagnostic imaging/*drug effects;Prefrontal Cortex/diagnostic imaging/*drug effects",no,no,no,no,CD,48,0,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,ln(1+μS),no,not reported,not reported,mixed,4,ANOVA,ANOVA_univariat,11,"check Suppl. Info; exclusion criteria only mentioning ""chronic or acute illnesses, current medical or psychological treatment""",
Meulders A and Bennett MP,2018,10.1016/j.jpain.2017.09.003,The Concept of Contexts in Pain: Generalization of Contextual Pain-Related Fear Within a de Novo Category of Unique Contexts.,The journal of pain,https://pubmed.ncbi.nlm.nih.gov/28993265/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Cues;Middle Aged;Electromyography;Self Report;Movement;Fear/*psychology;Pain/*psychology;Outcome Assessment, Health Care;Reflex, Startle/physiology;Conditioning, Psychological/*physiology;Affect/physiology;Generalization, Psychological/*physiology;Proprioception;*Pain Management",no,no,no,no,CD,42,35,24.29,8.45,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t",NA,NA,NA,NA,raw scores were transformed to z-scores. T-scores (a linear transformation of z-scores) were used in the figures only (to optimize the visualization of startle data and avoide negative values in y-axis),no,NA,not reported,within,3,ANOVA,rmANOVA,11,,
O'Malley KR and Waters AM,2018,10.1016/j.brat.2018.03.001,Attention avoidance of the threat conditioned stimulus during extinction increases physiological arousal generalisation and retention.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/29549751/,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Adult;Young Adult;Middle Aged;Arousal;Conditioning, Classical/*physiology;Attention/*physiology;Extinction, Psychological/*physiology;Fear/physiology;Arousal/*physiology;Implosive Therapy;Generalization, Psychological/*physiology;Anxiety Disorders/psychology/therapy",no,no,no,no,CD,63,37,25.62,9.07,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,"Greenhouse-Geisser, Huynh-Feldt",not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,uS[sqrt],yes,"ref (Venables & Christie, 1980)",not reported,mixed,4,Linear Mixed Model,"3 (Condition: Control, Monitor, Avoid) x 2 (CS: CS+, CS-) x 4 (Block: 1-4)",11,does EOG count as eye tracking?,
Mertens G and Braem S and Kuhn M and Lonsdorf TB and van den Hout MA and Engelhard IM,2018,10.1016/j.brat.2018.09.003,"Does US expectancy mediate the additive effects of CS-US pairings on contingency instructions? Results from subjective, psychophysiological and neural measures.",Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/30223152/,"Humans;Magnetic Resonance Imaging;Functional Neuroimaging;Photic Stimulation;Electric Stimulation;Conditioning, Classical/*physiology;Reflex, Startle/*physiology;Amygdala/*physiology;Fear/*physiology/*psychology;Motivation/*physiology",no,no,no,no,CD,123,NA,NA,NA,unclear,group,NA,,,,,,,,,,,,,,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,not reported,NA,NA,NA,,2,Mediation,other,11,"re-analysis of 4 studies, many details are missing (""extensively described in the original studies""); main effect of acq?",
Mertens G and Leer A and van Dis EAM and Vermeer L and Steenhuizen A and van der Veen L and Engelhard IM,2019,10.1016/j.jbtep.2018.09.007,Secondary extinction reduces reinstatement of threat expectancy and conditioned skin conductance responses in human fear conditioning.,Journal of behavior therapy and experimental psychiatry,https://pubmed.ncbi.nlm.nih.gov/30296630/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Galvanic Skin Response/*physiology",no,no,no,yes,CD,120,91,21.99,2.67,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,"Greenhouse-Geisser, Huynh-Feldt",not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,rc using max SCR reponse for each participant,yes,"ref (Dawson et al., 2007)",not reported,mixed,5,ANOVA,rmANOVA,11,Study 1 & 2 used same data transformation procedures,
Morriss J and van Reekum CM,2019,10.1016/j.brat.2019.03.004,I feel safe when i know: Contingency instruction promotes threat extinction in high intolerance of uncertainty individuals.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/30878772/,"Emotions;Female;Humans;Male;Adolescent;Adult;Young Adult;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Fear/physiology;Anxiety/*physiopathology;*Uncertainty",no,no,no,no,CD,142,90,24.11,4.44,no,individual,"STAI, IU",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, z",NA,NA,NA,not reported,yes,"ref (Ben-Shakhar, 1985)",trial-level,mixed,2,ANCOVA,other,11,Study 1 & 2 used same data transformation procedures; IBI collected but not analysed,
Mueller EM and Sperl MFJ and Panitz C,2019,10.1177/0956797619842261,Aversive Imagery Causes De Novo Fear Conditioning.,Psychological science,https://pubmed.ncbi.nlm.nih.gov/31150589/,"Female;Humans;Male;Adult;Young Adult;Cues;Facial Expression;Conditioning, Classical/*physiology;Fear/*physiology;Reflex, Startle/*physiology;Imagery (Psychotherapy);Emotions/*physiology;Imagination/*physiology",yes,yes,yes,no,CD,45,36,22.67,2.5,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,"log, (rc?)",NA,NA,NA,"SCR: ln(1+μS), but range correction also used in Suppl. Materials",no,NA,trial-level,within,3,ANOVA,rmANOVA,11,Study 1 (reported separately due to different data transformation procedures),
Mueller EM and Sperl MFJ and Panitz C,2019,10.1177/0956797619842261,Aversive Imagery Causes De Novo Fear Conditioning.,Psychological science,https://pubmed.ncbi.nlm.nih.gov/31150589/,"Female;Humans;Male;Adult;Young Adult;Cues;Facial Expression;Conditioning, Classical/*physiology;Fear/*physiology;Reflex, Startle/*physiology;Imagery (Psychotherapy);Emotions/*physiology;Imagination/*physiology",yes,yes,yes,no,CD,41,29,23.76,2.6,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,"t, other",NA,NA,NA,"Single-trial startle magnitudes were T standardized (M = 50, SD = 10) within each participant using ITI startle magnitudes as the reference distribution. single-trial startle responses were normalized as the percentage of the first startle response during the respective condition. ",no,NA,trial-level,within,3,ANOVA,rmANOVA,11,Study 2 (reported separately due to different data transformation procedures),
Morriss J and Saldarini F and van Reekum CM,2019,10.1016/j.ijpsycho.2019.05.013,The role of threat level and intolerance of uncertainty in extinction.,International journal of psychophysiology : official journal of the International  Organization of Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/31158397/,"Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Galvanic Skin Response/*physiology;*Uncertainty;Auditory Perception/*physiology",no,no,no,no,CD,126,97,21.56,3.45,not reported,both,"STAI, IUS",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, z",NA,NA,NA,not reported,yes,ref,trial-level,within,2,Multilevel model,other,11,Study 1 & 2 used same data transformation procedures; IBI collected but not analysed,
