co,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Vansteenwegen, Debora and Vervliet, Bram and Hermans, Dirk and Beckers, Tom and Baeyens, Frank and Eelen, Paul",2006,10.1016/j.brat.2005.10.014,Stronger renewal in human fear conditioning when tested with an acquisition retrieval cue than with an extinction retrieval cue,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-20118-004&site=ehost-live,"acquisition retrieval cue;Association Learning;Conditioned Fear;Conditioning (Psychology);Cues;Extinction (Learning);extinction retrieval cue;Extinction, Psychological;Fear;Galvanic Skin Response;human fear conditioning;Humanism;Humanities;Humans;Inhibition (Psychology);Lighting;Psychophysics",no,no,no,no,CD,32,NA,NA,NA,not reported,individual,"SCR, retrospective US-expectancy ratings",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,"Range correction formula using the largest unconditioned response elicited by the shock(Lykken & Venables, 1971)",yes,"reduce variability, Lykken & Venables, 1971",trial and average level,mixed,5,Repeated measures ANOVA,,5,
"Vervliet, Bram and Vansteenwegen, Debora and Eelen, Paul",2004,10.1101/lm.77404,Generalization of extinguished skin conductance responding in human fear conditioning,Learning & Memory,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-19377-011&site=ehost-live,"Association Learning;Conditioned Fear;conditioned stimulus;Conditioned Stimulus;Conditioning, Classical;Cues;extinction;Extinction (Learning);Extinction, Psychological;Fear;Galvanic Skin Response;human fear conditioning;Humanism;Humanities;Humans;Mental Recall;Reference Values;Response Generalization;skin conductance response;Skin Resistance",no,no,no,no,CD,36,NA,NA,NA,not reported,individual,"SCR, shock expectancy, and group (ABA vs. AAB)",dependent variable,square root,before,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,"Range correction formula using the largest unconditioned response elicited by the shock(Lykken & Venables, 1971)",yes,Normalize distribution (no ref),average-level,mixed,2,ANOVA,rmANOVA,5,
Wood KH and Ver Hoef LW and Knight DC,2012,10.1016/j.neuroimage.2011.12.048,Neural mechanisms underlying the conditioned diminution of the unconditioned fear response.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/22227141/,"*Magnetic Resonance Imaging;Brain/*physiology;Conditioning, Classical/*physiology;Fear/*physiology;Female;Humans;Male;Young Adult",no,no,no,no,CD,24,12,20.83,0.64,yes,both,"Trait anxiety, UCS expectancy, SCR",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,Unconditioned SCRs were calculated as the maximum SCR during the 10 s following the UCS presentation as compared to baseline,no,NA,trial-level,mixed,3,Repeated measures ANOVA,other,5,
Zeidan MA and Lebron-Milad K and Thompson-Hollands J and Im JJ and Dougherty DD and Holt DJ and Orr SP and Milad MR,2012,10.1111/j.1755-5949.2011.00238.x,Test-retest reliability during fear acquisition and fear extinction in humans.,CNS neuroscience & therapeutics,https://pubmed.ncbi.nlm.nih.gov/21592319/,"Adult;Conditioning, Psychological/*physiology;Electric Stimulation/adverse effects/methods;Extinction, Psychological/*physiology;Fear/*physiology/*psychology;Female;Humanism;Humanities;Humans;Longitudinal Studies;Male;Middle Aged;Photic Stimulation/*methods;Reaction Time/drug effects/physiology;Reproducibility of Results;Young Adult",no,no,no,no,LD,18,9,38,12.7,yes,both,SCR,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,raw,NA,NA,"for negative SCR values, the square root of the absolute value was taken and then the negative sign replaced",yes,to reduce heteroskedasticity (no ref),trial-level,within,5,ANOVA,other,5,
"Vansteenwegen, Debora and Crombez, Geert and Baeyens, Frank and Eelen, Paul",1998,10.1017/S0048577298970998,Extinction in fear conditioning: Effects on startle modulation and evaluative self-reports,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-11668-010&site=ehost-live,"Adolescent;Adult;Attitude;college students;Conditioned Stimulus;Conditioning, Classical;electrocutaneous UCS & startle modulation as valenced CS;evaluative fear conditioning & extinction;Extinction (Learning);Extinction, Psychological;Eyeblink Reflex;Fear;Female;Galvanic Skin Response;Humans;Male;Reflex, Startle;Startle Reflex;Unconditioned Stimulus",no,no,no,no,CD,38,29,19,NA,not reported,both,"valence ratings, arousal ratings, SCR, startle EMG",not reported,NA,NA,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,yes,subjects,"unstable baseline, fewer than 20 valid data points",NA,NA,raw,raw,log,NA,NA,NA,LN(SCR + 1),yes,Normalize distribution (no ref),not reported,mixed,2,Repeated measures ANOVA,ttest,5,
van Well S and Visser RM and Scholte HS and Kindt M,2012,10.3758/s13415-012-0089-7,"Neural substrates of individual differences in human fear learning: evidence from concurrent fMRI, fear-potentiated startle, and US-expectancy data.","Cognitive, affective & behavioral neuroscience",https://pubmed.ncbi.nlm.nih.gov/22451349/,"*Individuality;Adolescent;Adult;Amygdala/*physiology;Anxiety/physiopathology;Brain Mapping;Conditioning, Classical/*physiology;Fear/*physiology;Female;Hippocampus/*physiology;Humanism;Humanities;Humans;Magnetic Resonance Imaging;Male;Reflex, Startle/*physiology",no,no,no,no,CD,40,26,22.4,2.6,yes,both,"ASI, STAI-T, SPQ, EMG, US-expectancy",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,raw,t,NA,NA,NA,NA,NA,yes,"to remove MRI artifacts and adjust for individual differences (Allen et al., 2000)",not reported,mixed,2,ANOVA,ttest,5,
"Vervliet, Bram and Kindt, Merel and Vansteenwegen, Debora and Hermans, Dirk",2010,10.1016/j.brat.2010.07.002,Fear generalization in humans: Impact of prior non-fearful experiences,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-21796-002&site=ehost-live,"Adult;Analysis of Variance;anxiety;Anxiety;Conditioned Fear;Conditioning, Classical;Electroshock;Extinction, Psychological;Fear;fear conditioning;fear generalization;Female;Generalization (Psychology);Humanism;Humanities;humans;Humans;Male;non-fearful experiences;Photic Stimulation;Stimulus Generalization",no,no,no,no,CD,38,23,23.4,3.9,not reported,both,"SCR, US-expectancy",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,yes,in order to minimize interindividual differences in the general amplitude of skin conductance responses (nor ref),not reported,mixed,2,Mixed ANOVA,other,5,
"Williams, Amy E. and Rhudy, Jamie L.",2007,10.1016/j.jpain.2007.03.004,The influence of conditioned fear on human pain thresholds: Does preparedness play a role?,The Journal of Pain,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-10376-010&site=ehost-live,"Adolescent;Adult;Cognition;conditioned fear;Conditioned Fear;conditioned stimuli;Conditioning (Psychology);Emotions;Extinction, Psychological;facial expressions;Facial Expressions;Fear;Female;Galvanic Skin Response;Habituation, Psychophysiologic;human pain thresholds;Humanism;Humanities;Humans;Hyperalgesia;Male;Neuropsychological Tests;Pain;Pain Measurement;Pain Threshold;Pain Thresholds;Photic Stimulation;preparedness;Reaction Time;Surveys and Questionnaires",no,no,no,no,CD,57,36,20.46,1.74,yes,individual,"SCR, SAM (Self-Assessment Manikin)",not reported,NA,NA,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,SCR: baseline subtraction was used: mean skin conductance in the 1 second before stimulus was subtracted from epochs; maximum increase 1–4 sec after stimulus was used.,yes,"Venables & Christie, 1980",not reported,mixed,2,Repeated-measures ANOVA,other,5,
"Vervliet, Bram and Vansteenwegen, Debora and Hermans, Dirk and Eelen, Paul",2007,10.1016/j.brat.2006.01.009,Concurrent excitors limit the extinction of conditioned fear in humans,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-22431-015&site=ehost-live,"Conditioned Fear;Conditioning (Psychology);electric shock;Electroconvulsive Shock;electrodermal response;Electroshock;extinction;Extinction (Learning);Extinction, Psychological;Fear;fear conditioning;Galvanic Skin Response;Generalization (Psychology);Humanism;Humanities;Humans;Photic Stimulation",no,no,no,no,CD,28,NA,NA,NA,not reported,both,SCR,dependent variable,Square root transformation,before,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,rc: using the largest US response as max range for each individual; then square root transformed,yes,Normalize distribution (no ref),not reported,within,2,ANOVA,other,5,
"Vansteenwegen, Debora and Hermans, Dirk and Vervliet, Bram and Francken, Geert and Beckers, Tom and Baeyens, Frank and Eelen, Paul",2005,10.1016/j.brat.2004.01.001,Return of fear in a human differential conditioning paradigm caused by a return to the original acquistion context,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-02450-004&site=ehost-live,"behavior therapy;Behavior Therapy;Classical Conditioning;Conditioned Fear;conditioning paradigm;Conditioning, Classical;differential conditioning;Extinction, Psychological;Fear;fear renewal;fear-conditioning;Galvanic Skin Response;human fear;Humanism;Humanities;Humans;Lighting;Models, Psychological;Paradoxical Techniques;Psychological Tests",no,no,no,no,CD,40,NA,NA,NA,not reported,individual,"SCR, US-expectancy",not reported,NA,not reported,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,rc:used largest unconditioned response as maximum; then square root transformation.,yes,"Normalize distribution (Prokasy & Kumpfer, 1973; Dawson et al., 2000; Lykken & Venables, 1971)",not reported,mixed,5,ANOVA,rmANOVA,5,
"Van Diest, Ilse and Bradley, Margaret M. and Guerra, Pedro and Van den Bergh, Omer and Lang, Peter J.",2009,10.1016/j.biopsycho.2008.09.006,Fear-conditioned respiration and its association to cardiac reactivity,Biological Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-02094-008&site=ehost-live,"Adolescent;Adult;Analysis of Variance;Association;Avoidance Learning;Carbon Dioxide;carbon dioxide pressure;cardiac reactivity;Cardiovascular Reactivity;Cluster Analysis;Conditioned Fear;Conditioning (Psychology);Depsipeptides;Fear;fear conditioned respiration;Female;heart rate;Heart Rate;Humans;hyperventilation;Hyperventilation;Male;Respiration;Ventilators, Mechanical;Young Adult",no,no,no,no,CD,42,24,20,NA,not reported,both,"PetCO₂, HR, inspiratory duty cycle",not reported,NA,not reported,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,not reported,mixed,2,Repeated-measures ANOVA,other,5,
"Vervliet, Bram and Vansteenwegen, Debora and Baeyens, Frank and Hermans, Dirk and Helen, Paul",2005,10.1016/j.brat.2004.02.005,Return of fear in a human differential conditioning paradigm caused by a stimulus change after extinction,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-02450-006&site=ehost-live,"Analysis of Variance;Classical Conditioning;conditional stimulus;Conditioned Fear;conditioning paradigm;Conditioning, Classical;differential conditioning;Discrimination (Psychology);Extinction, Psychological;Fear;Galvanic Skin Response;Generalization (Psychology);generalization stimuli;human fear;Humanism;Humanities;Humans;Models, Psychological;Paradoxical Techniques;Psychological Tests;skin conductance response;stimulus change;Stimulus Change",no,no,no,no,CD,32,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,"rc, sqrt",NA,NA,NA,Amplitudes are range corrected using the largest response elicited by the US (peak between 9 and 13 s after CS onset duringacquisition) as the maximum range for each individual.,no,NA,trial and average level,within,5,ANOVA,rmANOVA,4,Maren
"Vervliet, Bram and Kindt, Merel and Vansteenwegen, Debora and Hermans, Dirk",2010,10.1016/j.brat.2009.09.005,Fear generalization in humans: Impact of verbal instructions,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-17727-001&site=ehost-live,"Analysis of Variance;anxiety;Anxiety;Color;Conditioned Fear;Conditioning, Classical;Cues;Electroshock;Fear;fear conditioning;fear generalization;Female;Galvanic Skin Response;Generalization, Stimulus;Humanism;Humanities;Humans;Male;Photic Stimulation;psychophysiology;Psychophysiology;stimulus features;Stimulus Generalization;Stimulus Parameters;verbal instructions;Young Adult",no,no,no,no,CD,38,23,23.4,3.9,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,Amplitudes were range-corrected using the largest response elicited by the US (peak amplitude between 9 and 14 s after CS onset) as the maximum range for each individual,no,NA,not reported,mixed,4,mixed ANOVA,ANOVA_univariat,4,groups are bulit before ACQ (information what will be shocked)
"Wiens, Stefan and Katkin, Edward S. and Öhman, Arne",2003,10.1111/1469-8986.00117,Effects of trial order and differential conditioning on acquisition of differential shock expectancy and skin conductance conditioning to masked stimuli,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-13024-017&site=ehost-live,"Adult;Arachnida;backward masking;Conditioned Fear;Conditioning, Classical;differential conditioning;Differential Reinforcement;electric shocks;Electrical Stimulation;Electroshock;Extinction, Psychological;fear conditioning;Female;Galvanic Skin Response;gut feelings;Habituation, Psychophysiologic;Heart Rate;Humans;hunches;Male;Masking;Perception;Photic Stimulation;prediction;Prediction;skin conductance conditioning;skin conductance response;Skin Potential;Snakes;trial order",no,no,no,no,CD,102,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,NA,no,NA,not reported,mixed,24,mixed ANOVA,ANOVA_univariat,4,groups are bulit before ACQ (trial order)
"Van der Molen, G. Margo and Merckelbach, Harald and Van den Hout, Marcel A.",1988,10.1016/0005-7916(88)90026-2,The possible relation of the menstrual cycle to susceptibility to fear acquisition,Journal of Behavior Therapy and Experimental Psychiatry,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1989-14747-001&site=ehost-live,"18–28 yr old females;Adolescent;Adult;Arousal;Classical Conditioning;Conditioning, Classical;Extinction, Psychological;Fear;Female;Galvanic Skin Response;Humans;Menstrual Cycle;premenstrual phase of menstrual cycle;Premenstrual Syndrome;susceptibility to classically conditioned fear",no,no,no,no,CD,31,31,21.2,NA,not reported,both,premenstrual phase,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,not reported,NA,NA,NA,no,NA,not reported,mixed,12,mixed ANOVA,ANOVA_univariat,4,groups are bulit before ACQ (menstrual cycle)
Vervliet B and Geens M,2014,10.1016/j.nlm.2013.10.002,Fear generalization in humans: impact of feature learning on conditioning and extinction.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/24120427/,"Adolescent;Adult;Conditioning, Classical/*physiology;Electroshock;Extinction, Psychological/*physiology;Fear/*physiology;Female;Galvanic Skin Response/physiology;Generalization, Stimulus/*physiology;Humanism;Humanities;Humans;Male;Random Allocation;Young Adult",no,no,no,no,CD,31,22,18.81,1.3,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,Amplitudes were range-corrected using the largest response elicited by the shock US (peak amplitude between 9 s and 14 s after stimulus onset) as the maximum range for each participant,yes,"Schiller & et al., 2009",not reported,mixed,6,mixed ANOVA,ANOVA_univariat,4,groups are bulit before ACQ (impact of stimulus features)
Warren VT and Anderson KM and Kwon C and Bosshardt L and Jovanovic T and Bradley B and Norrholm SD,2014,10.1016/j.nlm.2013.10.014,Human fear extinction and return of fear using reconsolidation update mechanisms: the contribution of on-line expectancy ratings.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/24183839/,"Adult;Anticipation, Psychological/*physiology;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/*physiology;Female;Humanism;Humanities;Humans;Male;Mental Recall/physiology;Reflex, Startle/physiology;Young Adult",no,no,no,no,CD,55,35,20.8,1.7,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,mixed,4,mixed ANOVA,ANOVA_univariat,4,
Wegerer M and Kerschbaum H and Blechert J and Wilhelm FH,2014,10.1016/j.nlm.2014.10.001,Low levels of estradiol are associated with elevated conditioned responding during fear extinction and with intrusive memories in daily life.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/25463649/,"Acoustic Stimulation;Adolescent;Adult;Conditioning, Classical/*physiology;Estradiol;Estradiol/*analysis;Extinction, Psychological/*physiology;Fear/*physiology;Female;Humans;Memory/*physiology;Menstrual Cycle/psychology;Progesterone/analysis;Saliva/chemistry;Young Adult",no,no,no,no,CD,66,66,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouase-Geisser,not reported,NA,not reported,NA,not reported,NA,yes,subjects,not reported,NA,NA,NA,NA,log,not reported,NA,NA,NA,no,NA,trial level,within,3,ANOVA,rmANOVA,4,
Zbozinek TD and Holmes EA and Craske MG,2015,10.1016/j.brat.2015.05.016,The effect of positive mood induction on reducing reinstatement fear: Relevance for long term outcomes of exposure therapy.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/26073498/,"*Affect;*Imagery, Psychotherapy;Conditioning, Classical/physiology;Extinction, Psychological/physiology;Fear/*psychology;Female;Galvanic Skin Response/physiology;Humans;Male;Reflex, Startle/physiology;Treatment Outcome;Young Adult",no,no,no,no,CD,100,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"rc, sqrt",NA,NA,NA,SCR rc: dividing by the largest SCR for a given participant in a given day.,no,NA,not reported,mixed,2,mixed model,"Startle reflex ~ Training Group (PIT, PVT) CS (CSþ, CS ) Time (First Trial of Acquisition, Last Trial of  Acquisition); not reported for SCR",4,
Zeng Q and Jia Y and Wang Y and Zhang J and Liu C and Zheng X,2015,10.1016/j.concog.2015.05.011,Retrospective reversal of extinction of conditioned fear by instruction.,Consciousness and cognition,https://pubmed.ncbi.nlm.nih.gov/26048856/,"*Conditioning, Psychological;*Extinction, Psychological;*Fear;Anticipation, Psychological;Female;Galvanic Skin Response;Humans;Male;Models, Psychological;Young Adult",no,no,no,no,CD,30,16,20.62,1.52,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,NA,no,NA,not reported,mixed,4,mixed GLM,"SCR ~ 4 (phase: ba1, acq9, ext12, text) x 3 (CS: CSl, CSr, CSn) ",4,"instead of sphericity, they write specificity assumption?"
Wendt J and Neubert J and Koenig J and Thayer JF and Hamm AO,2015,10.1111/psyp.12456,Resting heart rate variability is associated with inhibition of conditioned fear.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/26095980/,"*Inhibition, Psychological;Adult;Blinking/physiology;Conditioning, Psychological/*physiology;Electrocardiography;Extinction, Psychological/physiology;Fear/*physiology;Female;Heart Rate;Heart Rate/*physiology;Humans;Male;Reflex, Startle/*physiology;Reinforcement, Psychology;Rest;Young Adult",no,no,no,no,CD,114,56,23.6,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,"z, t",NA,NA,NA,NA,SCR: range corrected by dividing each individual score by the participant’s maximum response ,yes,"to reduce interindividual variability unrelated to the task (Lykken & Venables, 1971)",SCR: on trial level,NA,NA,NA,NA,4,no main effect of task reported
Wood KH and Wheelock MD and Shumen JR and Bowen KH and Ver Hoef LW and Knight DC,2015,10.1016/j.neuroimage.2015.06.086,Controllability modulates the neural response to predictable but not unpredictable threat in humans.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/26149610/,"Adaptation, Psychological/*physiology;Adolescent;Adult;Brain Mapping;Conditioning, Classical/physiology;Fear/*physiology;Female;Galvanic Skin Response;Gyrus Cinguli/*physiology;Hippocampus/*physiology;Humanism;Humanities;Humans;Magnetic Resonance Imaging;Male;Prefrontal Cortex/*physiology;Stress, Psychological/*physiopathology;Young Adult",no,no,no,no,CD,54,28,23.39,0.77,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,not reported,NA,sqrt,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,4,no main effect of task reported; groups are built before ACQ (threat predictability)
Wendt J and Neubert J and Lindner K and Ernst FD and Homuth G and Weike AI and Hamm AO,2015,10.1016/j.ijpsycho.2014.10.007,Genetic influences on the acquisition and inhibition of fear.,International journal of psychophysiology : official journal of the International  Organization of Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/25455425/,"*Inhibition, Psychological;Adolescent;Adult;Analysis of Variance;Catechol O-Methyltransferase/*genetics;Conditioning, Classical/physiology;Cues;Electromyography;Fear/*physiology;Female;Galvanic Skin Response/genetics;Genotype;Humans;Male;Photic Stimulation;Polymorphism, Single Nucleotide/*genetics;Promoter Regions, Genetic/genetics;Reflex, Startle/*genetics;Serotonin Plasma Membrane Transport Proteins/*genetics;Young Adult",no,no,no,no,CD,114,56,23.6,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t","log, rc",NA,NA,NA,SCR: range corrected by dividing each individual score by the participant’s maximum response ,yes,"to reduce interindividual variability unrelated to the task (Lykken & Venables, 1971)",not reported,within,3,ANOVA,rmANOVA,4,groups are bulit before ACQ (genetic polymorphisms)
Zhang S and Mano H and Ganesh G and Robbins T and Seymour B,2016,10.1016/j.cub.2015.10.066,Dissociable Learning Processes Underlie Human Pain Conditioning.,Current biology : CB,https://pubmed.ncbi.nlm.nih.gov/26711494/,"Adult;Amygdala/physiology;Association Learning/*physiology;Avoidance Learning/*physiology;Brain/physiology;Cerebellum/physiology;Conditioning, Classical/physiology;Conditioning, Psychological/*physiology;Cues;Dissociative Disorders;Fear/physiology;Female;Heart Block;Humanism;Humanities;Humans;Magnetic Resonance Imaging;Male;Pain/*physiopathology/psychology;Ventral Striatum/physiology",no,no,no,no,CD,15,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, scaled to individual subject’s mean-square-root-transformed US response ",NA,NA,NA,NA,no,NA,not reported,NA,NA,Computational: reinforcement learning models,other,4,
Zaman J and Weltens N and Ly HG and Struyf D and Vlaeyen JW and Van den Bergh O and Wiech K and Van Oudenhove L and Van Diest I,2016,10.1097/PSY.0000000000000257,Influence of Interoceptive Fear Learning on Visceral Perception.,Psychosomatic medicine,https://pubmed.ncbi.nlm.nih.gov/26575858/,"Adult;Conditioning, Psychological/physiology;Cues;Electric Stimulation;Fear/physiology/*psychology;Female;Generalization, Psychological/physiology;Humans;Interoception/*physiology;Learning/*physiology;Male;Visceral Pain/physiopathology/*psychology;Young Adult",no,no,no,no,CD,72,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhose-Geisser corrected,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,NA,no,NA,not reported,mixed,5,mixed regression,startle EMG ~ categorical predictors stimulus (ISI/CS/GS1/GS2/GS3) x block (preconditioning/test phase) x group (conditioning/control),4,"groups are bulit before ACQ (US administr. in one group, but not the other)"
